identifiant_client,identifiant_institution,mois,revenu_net_activites,autres_revenus_menage,charges_menage,capacite_mensuelle,coussin_estime
CLT-000015,INS-001,2022-05,7530,104616,4433,107712,485442
CLT-000015,INS-001,2022-06,8940,80398,5263,84075,506461
CLT-000015,INS-001,2022-07,10158,85515,5981,89693,528884
CLT-000015,INS-001,2022-08,10123,70237,5960,74400,547484
CLT-000015,INS-001,2022-09,11022,93819,6489,98352,572072
CLT-000015,INS-001,2022-10,-1357,107175,0,105818,598527
CLT-000015,INS-001,2022-11,-1385,89497,0,88112,620555
CLT-000015,INS-001,2022-12,-1219,89086,0,87867,642521
CLT-000015,INS-001,2023-01,6355,68273,3742,70886,660243
CLT-000015,INS-001,2023-02,7581,70355,4463,73473,678611
CLT-000015,INS-001,2023-03,7547,69070,4443,72173,696655
CLT-000015,INS-001,2023-04,9732,86301,5730,90304,719231
CLT-000015,INS-001,2023-05,9249,92614,5445,96417,743335
CLT-000015,INS-001,2023-06,12148,108856,7152,113851,771798
CLT-000015,INS-001,2023-07,14488,71080,8530,77038,791057
CLT-000015,INS-001,2023-08,13954,74817,8215,80556,811196
CLT-000015,INS-001,2023-09,16422,81862,9668,88616,833350
CLT-000015,INS-001,2023-10,19754,75902,11630,84026,854357
CLT-000015,INS-001,2023-11,17955,91002,10571,98386,878953
CLT-000015,INS-001,2023-12,25978,98084,15295,108768,906145
CLT-000015,INS-001,2024-01,13279,111345,7818,116806,935347
CLT-000015,INS-001,2024-02,9920,111219,5840,115299,964171
CLT-000015,INS-001,2024-03,11029,63428,6493,67964,981162
CLT-000015,INS-001,2024-04,11429,100086,6729,104786,1007359
CLT-000015,INS-001,2024-05,10383,109313,6113,113583,1035755
CLT-000015,INS-001,2024-06,9952,74348,5859,78440,1055365
CLT-000015,INS-001,2024-07,11614,81183,6838,85960,1076855
CLT-000015,INS-001,2024-08,11280,75375,6641,80014,1096858
CLT-000015,INS-001,2024-09,11753,98944,6920,103778,1122803
CLT-000015,INS-001,2024-10,12863,107348,7573,112638,1150962
CLT-000015,INS-001,2024-11,14938,81128,8795,87272,1172780
CLT-000015,INS-001,2024-12,13833,63494,8144,69183,1190076
CLT-000015,INS-001,2025-01,-67658,93224,0,25566,1196467
CLT-000015,INS-001,2025-02,-60635,94077,0,33442,1204828
CLT-000015,INS-001,2025-03,-50340,110659,0,60319,1219907
CLT-000015,INS-001,2025-04,-47143,83609,0,36466,1229024
CLT-000015,INS-001,2025-05,-45985,89557,0,43572,1239917
CLT-000015,INS-001,2025-06,-42546,82235,0,39689,1249839
CLT-000015,INS-001,2025-07,-45616,83308,0,37692,1259262
CLT-000015,INS-001,2025-08,-52674,92426,0,39752,1269200
CLT-000015,INS-001,2025-09,-64546,67916,0,3370,1270042
CLT-000016,INS-001,2021-01,14425,439754,9807,444372,134593
CLT-000016,INS-001,2021-02,9222,326013,6270,328966,216834
CLT-000016,INS-001,2021-03,9950,450278,6765,453463,330200
CLT-000016,INS-001,2021-04,11425,392906,7767,396563,429341
CLT-000016,INS-001,2021-05,6991,447818,4753,450056,541855
CLT-000016,INS-001,2021-06,5807,378267,3948,380126,636886
CLT-000016,INS-001,2021-07,6908,373883,4697,376094,730910
CLT-000016,INS-001,2021-08,6612,437328,4495,439445,840771
CLT-000016,INS-001,2021-09,11841,398288,8050,402078,941291
CLT-000016,INS-001,2021-10,10781,488400,7330,491851,1064253
CLT-000016,INS-001,2021-11,11572,524406,7867,528111,1196281
CLT-000016,INS-001,2021-12,11411,472271,7758,475924,1315262
CLT-000016,INS-001,2022-01,14205,502138,9657,506686,1441933
CLT-000016,INS-001,2022-02,11897,487679,8088,491488,1564805
CLT-000016,INS-001,2022-03,11533,465879,7841,469572,1682198
CLT-000016,INS-001,2022-04,8891,287107,6045,289953,1754687
CLT-000016,INS-001,2022-05,9950,336173,6765,339358,1839526
CLT-000016,INS-001,2022-06,7587,449318,5158,451747,1952463
CLT-000016,INS-001,2022-07,6240,480330,4242,482328,2073045
CLT-000016,INS-001,2022-08,6870,391548,4671,393747,2171482
CLT-000016,INS-001,2022-09,7609,484733,5173,487169,2293274
CLT-000016,INS-001,2022-10,5332,301505,3625,303212,2369077
CLT-000016,INS-001,2022-11,4617,354935,3139,356413,2458180
CLT-000016,INS-001,2022-12,3963,324939,2694,326208,2539732
CLT-000016,INS-001,2023-01,7684,290247,5224,292707,2612909
CLT-000016,INS-001,2023-02,7160,352541,4868,354833,2701617
CLT-000017,INS-001,2021-01,176160,0,69972,106188,39047
CLT-000017,INS-001,2021-02,159719,0,63441,96278,63117
CLT-000017,INS-001,2021-03,151454,0,60158,91296,85941
CLT-000017,INS-001,2021-04,132476,0,52620,79856,105905
CLT-000017,INS-001,2021-05,108143,0,42955,65188,122202
CLT-000017,INS-001,2021-06,115596,0,45915,69681,139622
CLT-000017,INS-001,2021-07,136818,0,54345,82473,160240
CLT-000017,INS-001,2021-08,150641,0,59835,90806,182942
CLT-000017,INS-001,2021-09,153497,0,60970,92527,206073
CLT-000017,INS-001,2021-10,158548,0,62976,95572,229966
CLT-000017,INS-001,2021-11,180655,0,71757,108898,257191
CLT-000017,INS-001,2021-12,195929,0,77824,118105,286717
CLT-000017,INS-001,2022-01,165629,0,65789,99840,311677
CLT-000017,INS-001,2022-02,155662,0,61830,93832,335135
CLT-000017,INS-001,2022-03,131585,0,52266,79319,354965
CLT-000017,INS-001,2022-04,138358,0,54956,83402,375815
CLT-000017,INS-001,2022-05,129750,0,51537,78213,395369
CLT-000017,INS-001,2022-06,142067,0,56430,85637,416778
CLT-000017,INS-001,2022-07,145206,0,57676,87530,438660
CLT-000017,INS-001,2022-08,172376,0,68469,103907,464637
CLT-000017,INS-001,2022-09,166484,0,66128,100356,489726
CLT-000017,INS-001,2022-10,112612,0,44730,67882,506697
CLT-000017,INS-001,2022-11,133268,0,52935,80333,526780
CLT-000017,INS-001,2022-12,143349,0,56939,86410,548383
CLT-000017,INS-001,2023-01,168631,0,66981,101650,573795
CLT-000017,INS-001,2023-02,146387,0,58146,88241,595855
CLT-000017,INS-001,2023-03,158357,0,62900,95457,619720
CLT-000017,INS-001,2023-04,111781,0,44400,67381,636565
CLT-000017,INS-001,2023-05,90827,0,36077,54750,650252
CLT-000017,INS-001,2023-06,97287,0,38643,58644,664914
CLT-000017,INS-001,2023-07,97616,0,38774,58842,679624
CLT-000017,INS-001,2023-08,101472,0,40305,61167,694916
CLT-000017,INS-001,2023-09,106150,0,42163,63987,710913
CLT-000017,INS-001,2023-10,118631,0,47121,71510,728790
CLT-000017,INS-001,2023-11,129749,0,51537,78212,748343
CLT-000017,INS-001,2023-12,158498,0,62956,95542,772229
CLT-000017,INS-001,2024-01,136851,0,54358,82493,792852
CLT-000017,INS-001,2024-02,138065,0,54840,83225,813658
CLT-000017,INS-001,2024-03,133150,0,52888,80262,833724
CLT-000017,INS-001,2024-04,130658,0,51898,78760,853414
CLT-000017,INS-001,2024-05,126851,0,50386,76465,872530
CLT-000017,INS-001,2024-06,132137,0,52485,79652,892443
CLT-000017,INS-001,2024-07,151979,0,60367,91612,915346
CLT-000017,INS-001,2024-08,167808,0,66654,101154,940634
CLT-000017,INS-001,2024-09,168039,0,66746,101293,965958
CLT-000017,INS-001,2024-10,169617,0,67373,102244,991519
CLT-000017,INS-001,2024-11,97251,0,38629,58622,1006174
CLT-000017,INS-001,2024-12,95741,0,38029,57712,1020603
CLT-000017,INS-001,2025-01,-40107,0,0,-40107,1010576
CLT-000017,INS-001,2025-02,-61015,0,0,-61015,995322
CLT-000017,INS-001,2025-03,-25378,0,0,-25378,988978
CLT-000017,INS-001,2025-04,-23701,0,0,-23701,983052
CLT-000017,INS-001,2025-05,-52456,0,0,-52456,969938
CLT-000017,INS-001,2025-06,-52205,0,0,-52205,956887
CLT-000017,INS-001,2025-07,-53427,0,0,-53427,943530
CLT-000017,INS-001,2025-08,-61598,0,0,-61598,928131
CLT-000018,INS-001,2021-01,96965,0,42595,54370,66593
CLT-000018,INS-001,2021-02,99479,0,43699,55780,80538
CLT-000018,INS-001,2021-03,61329,0,26941,34388,89135
CLT-000018,INS-001,2021-04,95949,0,42148,53801,102585
CLT-000018,INS-001,2021-05,71736,0,31512,40224,112641
CLT-000018,INS-001,2021-06,92674,0,40710,51964,125632
CLT-000018,INS-001,2021-07,78824,0,34626,44198,136681
CLT-000018,INS-001,2021-08,79993,0,35139,44854,147895
CLT-000018,INS-001,2021-09,63045,0,27694,35351,156733
CLT-000018,INS-001,2021-10,81763,0,35917,45846,168194
CLT-000018,INS-001,2021-11,148426,0,65200,83226,189001
CLT-000018,INS-001,2021-12,129224,0,56765,72459,207115
CLT-000018,INS-001,2022-01,104557,0,45930,58627,221772
CLT-000018,INS-001,2022-02,97980,0,43041,54939,235507
CLT-000018,INS-001,2022-03,88921,0,39061,49860,247972
CLT-000018,INS-001,2022-04,50123,0,22018,28105,254998
CLT-000018,INS-001,2022-05,69131,0,30368,38763,264689
CLT-000018,INS-001,2022-06,115803,0,50870,64933,280922
CLT-000018,INS-001,2022-07,104653,0,45972,58681,295593
CLT-000018,INS-001,2022-08,32444,0,14252,18192,300141
CLT-000018,INS-001,2022-09,45132,0,19826,25306,306467
CLT-000018,INS-001,2022-10,32660,0,14347,18313,311046
CLT-000018,INS-001,2022-11,41534,0,18245,23289,316868
CLT-000018,INS-001,2022-12,48738,0,21410,27328,323700
CLT-000018,INS-001,2023-01,92649,0,40699,51950,336687
CLT-000018,INS-001,2023-02,46419,0,20391,26028,343194
CLT-000018,INS-001,2023-03,26463,0,11625,14838,346904
CLT-000018,INS-001,2023-04,58658,0,25767,32891,355127
CLT-000018,INS-001,2023-05,49662,0,21815,27847,362088
CLT-000018,INS-001,2023-06,70040,0,30767,39273,371907
CLT-000018,INS-001,2023-07,86196,0,37864,48332,383990
CLT-000018,INS-001,2023-08,96063,0,42198,53865,397456
CLT-000018,INS-001,2023-09,196123,0,86153,109970,424948
CLT-000018,INS-001,2023-10,136918,0,60145,76773,444142
CLT-000018,INS-001,2023-11,142794,0,62726,80068,464158
CLT-000018,INS-001,2023-12,113408,0,49818,63590,480056
CLT-000018,INS-001,2024-01,82248,0,36130,46118,491586
CLT-000018,INS-001,2024-02,70521,0,30978,39543,501471
CLT-000018,INS-001,2024-03,69428,0,30498,38930,511204
CLT-000018,INS-001,2024-04,39312,0,17269,22043,516714
CLT-000018,INS-001,2024-05,39525,0,17362,22163,522255
CLT-000018,INS-001,2024-06,57363,0,25198,32165,530296
CLT-000018,INS-001,2024-07,66955,0,29412,37543,539682
CLT-000018,INS-001,2024-08,65364,0,28713,36651,548845
CLT-000018,INS-001,2024-09,167540,0,73597,93943,572331
CLT-000019,INS-001,2021-01,69749,20429,19778,70400,17600
CLT-000019,INS-001,2021-02,74591,20928,21151,74368,36192
CLT-000019,INS-001,2021-03,86242,25041,24455,86828,57899
CLT-000019,INS-001,2021-04,87610,24520,24843,87287,79721
CLT-000019,INS-001,2021-05,64322,22145,18239,68228,96778
CLT-000019,INS-001,2021-06,65681,16945,18625,64001,112778
CLT-000019,INS-001,2021-07,67842,20813,19237,69418,130133
CLT-000019,INS-001,2021-08,70776,15631,20069,66338,146717
CLT-000019,INS-001,2021-09,108856,18970,30867,96958,170957
CLT-000019,INS-001,2021-10,100389,21235,28466,93157,194246
CLT-000019,INS-001,2021-11,70738,25673,20059,76353,213334
CLT-000019,INS-001,2021-12,72335,23320,20511,75144,232120
CLT-000019,INS-001,2022-01,61419,14849,17416,58852,246833
CLT-000019,INS-001,2022-02,84616,20871,23994,81493,267206
CLT-000019,INS-001,2022-03,79506,25137,22545,82098,287731
CLT-000019,INS-001,2022-04,75040,14920,21278,68681,304901
CLT-000019,INS-001,2022-05,81264,25044,23043,83264,325717
CLT-000019,INS-001,2022-06,81956,22347,23240,81064,345983
CLT-000019,INS-001,2022-07,90492,26066,25660,90898,368708
CLT-000019,INS-001,2022-08,91322,23574,25895,89001,390958
CLT-000019,INS-001,2022-09,102072,22832,28944,95961,414948
CLT-000019,INS-001,2022-10,111300,16121,31560,95861,438913
CLT-000019,INS-001,2022-11,84131,17075,23856,77350,458251
CLT-000019,INS-001,2022-12,82373,18755,23358,77770,477693
CLT-000019,INS-001,2023-01,113318,18925,32133,100111,502721
CLT-000019,INS-001,2023-02,90601,24001,25691,88911,524949
CLT-000019,INS-001,2023-03,99445,18771,28199,90017,547453
CLT-000019,INS-001,2023-04,113839,25393,32280,106952,574191
CLT-000019,INS-001,2023-05,91843,20217,26043,86017,595695
CLT-000019,INS-001,2023-06,100174,20968,28405,92736,618879
CLT-000019,INS-001,2023-07,129134,16325,36617,108841,646090
CLT-000019,INS-001,2023-08,124477,19486,35297,108666,673256
CLT-000019,INS-001,2023-09,116749,23008,33106,106652,699919
CLT-000019,INS-001,2023-10,101723,22551,28845,95429,723776
CLT-000019,INS-001,2023-11,120534,14328,34179,100683,748947
CLT-000019,INS-001,2023-12,109653,15519,31093,94079,772467
CLT-000019,INS-001,2024-01,97617,20026,27680,89963,794958
CLT-000019,INS-001,2024-02,96730,18174,27429,87475,816826
CLT-000019,INS-001,2024-03,79927,23288,22664,80551,836964
CLT-000019,INS-001,2024-04,93876,15237,26620,82494,857588
CLT-000019,INS-001,2024-05,103566,26382,29367,100580,882733
CLT-000019,INS-001,2024-06,113510,19160,32187,100483,907853
CLT-000019,INS-001,2024-07,102658,25148,29110,98696,932528
CLT-000019,INS-001,2024-08,122616,22248,34769,110094,960051
CLT-000019,INS-001,2024-09,147749,17047,41896,122900,990776
CLT-000019,INS-001,2024-10,128342,22988,36393,114937,1019510
CLT-000019,INS-001,2024-11,167263,19214,47429,139047,1054272
CLT-000019,INS-001,2024-12,154101,16309,43697,126713,1085950
CLT-000019,INS-001,2025-01,112182,19541,31810,99912,1110928
CLT-000019,INS-001,2025-02,105965,17080,30048,92998,1134178
CLT-000019,INS-001,2025-03,79003,23666,22402,80267,1154245
CLT-000019,INS-001,2025-04,83754,21020,23749,81024,1174501
CLT-000019,INS-001,2025-05,92467,17212,26220,83459,1195365
CLT-000019,INS-001,2025-06,74345,22410,21081,75673,1214284
CLT-000019,INS-001,2025-07,86443,24217,24512,86149,1235821
CLT-000019,INS-001,2025-08,82880,20267,23502,79645,1255732
CLT-000019,INS-001,2025-09,116876,22067,33142,105801,1282182
CLT-000019,INS-001,2025-10,120437,16452,34151,102737,1307867
CLT-000019,INS-001,2025-11,140441,19309,39824,119926,1337848
CLT-000019,INS-001,2025-12,139060,16426,39432,116054,1366862
CLT-000020,INS-001,2021-01,97880,0,66679,31201,81300
CLT-000020,INS-001,2021-02,101687,0,69272,32415,89404
CLT-000020,INS-001,2021-03,109465,0,74571,34894,98128
CLT-000020,INS-001,2021-04,106612,0,72627,33985,106624
CLT-000020,INS-001,2021-05,83704,0,57022,26682,113294
CLT-000020,INS-001,2021-06,71271,0,48552,22719,118974
CLT-000020,INS-001,2021-07,73896,0,50340,23556,124863
CLT-000020,INS-001,2021-08,108071,0,73621,34450,133476
CLT-000020,INS-001,2021-09,112482,0,76626,35856,142440
CLT-000020,INS-001,2021-10,105260,0,71706,33554,150828
CLT-000020,INS-001,2021-11,111901,0,76230,35671,159746
CLT-000020,INS-001,2021-12,98440,0,67060,31380,167591
CLT-000020,INS-001,2022-01,101517,0,69156,32361,175681
CLT-000020,INS-001,2022-02,91703,0,62471,29232,182989
CLT-000020,INS-001,2022-03,85124,0,57989,27135,189773
CLT-000020,INS-001,2022-04,80592,0,54902,25690,196195
CLT-000020,INS-001,2022-05,68272,0,46509,21763,201636
CLT-000020,INS-001,2022-06,75385,0,51354,24031,207644
CLT-000020,INS-001,2022-07,87534,0,59631,27903,214620
CLT-000020,INS-001,2022-08,90033,0,61333,28700,221795
CLT-000020,INS-001,2022-09,101269,0,68987,32282,229865
CLT-000020,INS-001,2022-10,24390,0,16615,7775,231809
CLT-000020,INS-001,2022-11,24808,0,16900,7908,233786
CLT-000020,INS-001,2022-12,25934,0,17667,8267,235852
CLT-000020,INS-001,2023-01,75858,0,51677,24181,241898
CLT-000020,INS-001,2023-02,70561,0,48068,22493,247521
CLT-000020,INS-001,2023-03,66823,0,45522,21301,252846
CLT-000020,INS-001,2023-04,61267,0,41737,19530,257729
CLT-000020,INS-001,2023-05,61200,0,41691,19509,262606
CLT-000020,INS-001,2023-06,73963,0,50386,23577,268500
CLT-000020,INS-001,2023-07,70695,0,48159,22536,274134
CLT-000020,INS-001,2023-08,84308,0,57433,26875,280853
CLT-000020,INS-001,2023-09,77546,0,52827,24719,287033
CLT-000020,INS-001,2023-10,71049,0,48401,22648,292695
CLT-000020,INS-001,2023-11,76975,0,52438,24537,298829
CLT-000020,INS-001,2023-12,78977,0,53801,25176,305123
CLT-000020,INS-001,2024-01,71810,0,48919,22891,310846
CLT-000020,INS-001,2024-02,55729,0,37964,17765,315287
CLT-000020,INS-001,2024-03,58544,0,39882,18662,319953
CLT-000020,INS-001,2024-04,52732,0,35923,16809,324155
CLT-000020,INS-001,2024-05,53227,0,36260,16967,328397
CLT-000020,INS-001,2024-06,50419,0,34347,16072,332415
CLT-000020,INS-001,2024-07,66594,0,45366,21228,337722
CLT-000020,INS-001,2024-08,71853,0,48948,22905,343448
CLT-000020,INS-001,2024-09,64186,0,43725,20461,348563
CLT-000020,INS-001,2024-10,76385,0,52036,24349,354650
CLT-000020,INS-001,2024-11,84249,0,57393,26856,361364
CLT-000020,INS-001,2024-12,67815,0,46198,21617,366769
CLT-000020,INS-001,2025-01,-231986,0,0,-231986,308772
CLT-000020,INS-001,2025-02,-219850,0,0,-219850,253810
CLT-000020,INS-001,2025-03,-190586,0,0,-190586,206163
CLT-000020,INS-001,2025-04,-156555,0,0,-156555,167025
CLT-000020,INS-001,2025-05,-173869,0,0,-173869,123557
CLT-000020,INS-001,2025-06,-154595,0,0,-154595,84909
CLT-000020,INS-001,2025-07,-135172,0,0,-135172,51116
CLT-000020,INS-001,2025-08,-143440,0,0,-143440,15256
CLT-000020,INS-001,2025-09,-173251,0,0,-173251,0
CLT-000020,INS-001,2025-10,-182038,0,0,-182038,0
CLT-000020,INS-001,2025-11,-169653,0,0,-169653,0
CLT-000020,INS-001,2025-12,-183912,0,0,-183912,0
CLT-000021,INS-001,2021-01,29864,177906,8640,199129,80782
CLT-000021,INS-001,2021-02,33452,188087,9678,211861,133748
CLT-000021,INS-001,2021-03,26183,234516,7575,253124,197029
CLT-000021,INS-001,2021-04,25452,251131,7364,269219,264333
CLT-000021,INS-001,2021-05,11302,153415,3270,161447,304695
CLT-000021,INS-001,2021-06,8573,250746,2480,256839,368905
CLT-000021,INS-001,2021-07,10605,212267,3068,219804,423856
CLT-000021,INS-001,2021-08,9024,263266,2611,269679,491276
CLT-000021,INS-001,2021-09,9216,198903,2666,205453,542639
CLT-000021,INS-001,2021-10,17908,258170,5181,270897,610363
CLT-000021,INS-001,2021-11,15518,270887,4490,281915,680842
CLT-000021,INS-001,2021-12,27354,204961,7914,224401,736942
CLT-000021,INS-001,2022-01,21395,150705,6190,165910,778420
CLT-000021,INS-001,2022-02,31546,185653,9127,208073,830438
CLT-000021,INS-001,2022-03,31669,263640,9162,286146,901974
CLT-000021,INS-001,2022-04,20057,263541,5803,277795,971423
CLT-000021,INS-001,2022-05,20679,200657,5983,215354,1025261
CLT-000021,INS-001,2022-06,24283,216255,7025,233512,1083640
CLT-000021,INS-001,2022-07,22679,271546,6561,287664,1155555
CLT-000021,INS-001,2022-08,24409,230301,7062,247648,1217467
CLT-000021,INS-001,2022-09,30078,162127,8702,183503,1263343
CLT-000021,INS-001,2022-10,16907,215273,4891,227288,1320165
CLT-000021,INS-001,2022-11,20438,170827,5913,185352,1366503
CLT-000021,INS-001,2022-12,22865,270494,6615,286743,1438189
CLT-000021,INS-001,2023-01,26937,266278,7793,285422,1509544
CLT-000021,INS-001,2023-02,45845,209210,13264,241791,1569992
CLT-000021,INS-001,2023-03,42608,151411,12327,181692,1615415
CLT-000021,INS-001,2023-04,34720,257052,10045,281727,1685847
CLT-000021,INS-001,2023-05,39129,151813,11321,179621,1730752
CLT-000022,INS-001,2021-01,119224,42057,72735,88546,48137
CLT-000022,INS-001,2021-02,132594,52435,80892,104137,74171
CLT-000022,INS-001,2021-03,152228,40889,92870,100247,99233
CLT-000022,INS-001,2021-04,114741,63186,70000,107926,126214
CLT-000022,INS-001,2021-05,146206,49013,89196,106023,152720
CLT-000022,INS-001,2021-06,126880,54331,77406,103805,178671
CLT-000022,INS-001,2021-07,163530,46874,99765,110639,206331
CLT-000022,INS-001,2021-08,213585,50741,130302,134024,239837
CLT-000022,INS-001,2021-09,239275,50720,145975,144020,275842
CLT-000022,INS-001,2021-10,109076,54604,66544,97136,300126
CLT-000022,INS-001,2021-11,108810,70622,66382,113050,328389
CLT-000022,INS-001,2021-12,62239,43171,37970,67440,345249
CLT-000022,INS-001,2022-01,84853,43072,51766,76158,364288
CLT-000022,INS-001,2022-02,96898,51771,59115,89555,386677
CLT-000022,INS-001,2022-03,112189,39665,68443,83411,407530
CLT-000022,INS-001,2022-04,136824,51841,83472,105193,433828
CLT-000022,INS-001,2022-05,129089,39564,78753,89899,456303
CLT-000022,INS-001,2022-06,183526,43201,111964,114764,484994
CLT-000022,INS-001,2022-07,178212,57996,108722,127486,516865
CLT-000022,INS-001,2022-08,142881,55812,87168,111526,544747
CLT-000022,INS-001,2022-09,157486,55881,96078,117290,574069
CLT-000022,INS-001,2022-10,151552,52171,92457,111265,601885
CLT-000022,INS-001,2022-11,153672,58836,93751,118757,631575
CLT-000022,INS-001,2022-12,116864,46823,71295,92392,654673
CLT-000022,INS-001,2023-01,122538,52287,74757,100068,679690
CLT-000022,INS-001,2023-02,176671,59249,107782,128138,711724
CLT-000022,INS-001,2023-03,207020,62656,126297,143379,747569
CLT-000022,INS-001,2023-04,162944,58455,99407,121992,778067
CLT-000022,INS-001,2023-05,218883,53338,133534,138687,812739
CLT-000022,INS-001,2023-06,207634,71356,126671,152319,850818
CLT-000022,INS-001,2023-07,203259,62670,124002,141927,886300
CLT-000022,INS-001,2023-08,237521,71159,144905,163776,927244
CLT-000022,INS-001,2023-09,206622,59391,126054,139959,962234
CLT-000022,INS-001,2023-10,257823,63202,157290,163735,1003167
CLT-000022,INS-001,2023-11,214876,41740,131090,125526,1034549
CLT-000022,INS-001,2023-12,212354,43192,129551,125995,1066048
CLT-000022,INS-001,2024-01,134173,49354,81855,101672,1091466
CLT-000022,INS-001,2024-02,137358,63462,83798,117022,1120721
CLT-000022,INS-001,2024-03,149497,44999,91204,103293,1146544
CLT-000022,INS-001,2024-04,136537,56524,83297,109763,1173985
CLT-000022,INS-001,2024-05,134385,60891,81984,113292,1202308
CLT-000022,INS-001,2024-06,164760,47723,100515,111968,1230300
CLT-000022,INS-001,2024-07,86235,49021,52609,82647,1250962
CLT-000022,INS-001,2024-08,107568,66470,65624,108414,1278065
CLT-000022,INS-001,2024-09,141957,39056,86604,94409,1301668
CLT-000022,INS-001,2024-10,208658,54731,127296,136093,1335691
CLT-000022,INS-001,2024-11,193221,47945,117878,123287,1366513
CLT-000022,INS-001,2024-12,220725,58367,134658,144434,1402621
CLT-000022,INS-001,2025-01,126434,49042,77134,98342,1427207
CLT-000022,INS-001,2025-02,106479,48887,64960,90406,1449808
CLT-000022,INS-001,2025-03,126912,47285,77425,96771,1474001
CLT-000022,INS-001,2025-04,125209,43826,76386,92649,1497163
CLT-000022,INS-001,2025-05,116260,70525,70927,115858,1526128
CLT-000022,INS-001,2025-06,107457,39804,65556,81704,1546554
CLT-000022,INS-001,2025-07,117845,40532,71894,86483,1568175
CLT-000022,INS-001,2025-08,144058,48013,87886,104186,1594221
CLT-000022,INS-001,2025-09,116861,56132,71293,101700,1619646
CLT-000022,INS-001,2025-10,157913,43114,96338,104689,1645818
CLT-000022,INS-001,2025-11,113853,46004,69458,90398,1668418
CLT-000022,INS-001,2025-12,118233,48234,72130,94337,1692002
CLT-000023,INS-001,2025-04,-32117,39135,0,7018,113254
CLT-000023,INS-001,2025-05,-24809,52380,0,27571,120147
CLT-000023,INS-001,2025-06,-28020,38823,0,10803,122848
CLT-000023,INS-001,2025-07,-25134,43234,0,18100,127373
CLT-000023,INS-001,2025-08,-25813,56294,0,30481,134993
CLT-000023,INS-001,2025-09,-29003,44566,0,15563,138884
CLT-000023,INS-001,2025-10,-39202,54613,0,15411,142736
CLT-000023,INS-001,2025-11,-38472,56713,0,18241,147297
CLT-000023,INS-001,2025-12,-47654,42033,0,-5621,145891
CLT-000024,INS-001,2021-02,127209,0,70991,56218,74054
CLT-000024,INS-001,2021-03,110160,0,61477,48683,86225
CLT-000024,INS-001,2021-04,109459,0,61085,48374,98319
CLT-000024,INS-001,2021-05,84513,0,47164,37349,107656
CLT-000024,INS-001,2021-06,96311,0,53748,42563,118297
CLT-000024,INS-001,2021-07,93204,0,52014,41190,128594
CLT-000024,INS-001,2021-08,109559,0,61141,48418,140699
CLT-000024,INS-001,2021-09,132459,0,73921,58538,155333
CLT-000024,INS-001,2021-10,135903,0,75843,60060,170348
CLT-000024,INS-001,2021-11,112514,0,62790,49724,182779
CLT-000024,INS-001,2021-12,154874,0,86430,68444,199890
CLT-000024,INS-001,2022-01,114458,0,63875,50583,212536
CLT-000024,INS-001,2022-02,96620,0,53920,42700,223211
CLT-000024,INS-001,2022-03,95656,0,53382,42274,233779
CLT-000024,INS-001,2022-04,112228,0,62631,49597,246179
CLT-000024,INS-001,2022-05,76510,0,42698,33812,254632
CLT-000024,INS-001,2022-06,66372,0,37040,29332,261965
CLT-000024,INS-001,2022-07,86061,0,48028,38033,271473
CLT-000024,INS-001,2022-08,88554,0,49419,39135,281257
CLT-000024,INS-001,2022-09,117315,0,65470,51845,294218
CLT-000024,INS-001,2022-10,79641,0,44445,35196,303017
CLT-000024,INS-001,2022-11,89323,0,49848,39475,312886
CLT-000024,INS-001,2022-12,102352,0,57119,45233,324194
CLT-000024,INS-001,2023-01,113906,0,63567,50339,336779
CLT-000024,INS-001,2023-02,98661,0,55059,43602,347679
CLT-000024,INS-001,2023-03,92326,0,51524,40802,357880
CLT-000024,INS-001,2023-04,107222,0,59837,47385,369726
CLT-000024,INS-001,2023-05,99776,0,55682,44094,380750
CLT-000024,INS-001,2023-06,90159,0,50315,39844,390711
CLT-000024,INS-001,2023-07,82601,0,46097,36504,399837
CLT-000024,INS-001,2023-08,92341,0,51532,40809,410039
CLT-000024,INS-001,2023-09,121316,0,67702,53614,423442
CLT-000024,INS-001,2023-10,100628,0,56157,44471,434560
CLT-000024,INS-001,2023-11,138714,0,77412,61302,449886
CLT-000024,INS-001,2023-12,161239,0,89982,71257,467700
CLT-000024,INS-001,2024-01,167124,0,93266,73858,486164
CLT-000024,INS-001,2024-02,121017,0,67535,53482,499535
CLT-000024,INS-001,2024-03,96590,0,53904,42686,510206
CLT-000024,INS-001,2024-04,93715,0,52299,41416,520560
CLT-000024,INS-001,2024-05,99083,0,55295,43788,531507
CLT-000024,INS-001,2024-06,102674,0,57299,45375,542851
CLT-000024,INS-001,2024-07,81119,0,45270,35849,551813
CLT-000024,INS-001,2024-08,78625,0,43878,34747,560500
CLT-000024,INS-001,2024-09,78861,0,44010,34851,569213
CLT-000024,INS-001,2024-10,94948,0,52987,41961,579703
CLT-000024,INS-001,2024-11,113127,0,63132,49995,592202
CLT-000024,INS-001,2024-12,123165,0,68734,54431,605810
CLT-000024,INS-001,2025-01,-35024,0,0,-35024,597054
CLT-000024,INS-001,2025-02,-40716,0,0,-40716,586875
CLT-000024,INS-001,2025-03,-20211,0,0,-20211,581822
CLT-000024,INS-001,2025-04,-31125,0,0,-31125,574041
CLT-000024,INS-001,2025-05,-31143,0,0,-31143,566255
