identifiant_demande,identifiant_institution,aurait_ete_decaisse,defaut_contrefactuel,jours_retard_max_contrefactuel,capital_perdu_contrefactuel
DEM-013474,INS-002,1,0,4,0
DEM-013478,INS-002,1,0,33,0
DEM-013483,INS-002,1,0,4,0
DEM-013488,INS-002,1,0,2,0
DEM-013490,INS-002,1,0,34,0
DEM-013491,INS-002,1,0,2,0
DEM-013493,INS-002,1,0,4,0
DEM-013497,INS-002,1,0,1,0
DEM-013498,INS-002,1,0,0,0
DEM-013499,INS-002,1,0,2,0
DEM-013508,INS-002,1,0,2,0
DEM-013510,INS-002,1,0,4,0
DEM-013512,INS-002,1,0,4,0
DEM-013513,INS-002,1,0,4,0
DEM-013514,INS-002,1,0,3,0
DEM-013516,INS-002,1,0,4,0
DEM-013521,INS-002,1,1,90,3591
DEM-013524,INS-002,1,0,4,0
DEM-013525,INS-002,1,0,0,0
DEM-013532,INS-002,1,0,4,0
DEM-013533,INS-002,1,0,4,0
DEM-013543,INS-002,1,1,90,66666
DEM-013544,INS-002,0,0,3,0
DEM-013547,INS-002,1,0,2,0
DEM-013548,INS-002,1,0,18,0
DEM-013550,INS-002,1,0,3,0
DEM-013553,INS-002,1,0,4,0
DEM-013555,INS-002,1,0,2,0
DEM-013557,INS-002,1,0,0,0
DEM-013568,INS-002,1,0,21,0
DEM-013572,INS-002,1,0,4,0
DEM-013574,INS-002,1,0,4,0
DEM-013576,INS-002,1,0,1,0
DEM-013580,INS-002,1,0,2,0
DEM-013582,INS-002,1,0,30,0
DEM-013595,INS-002,1,0,4,0
DEM-013609,INS-002,1,0,1,0
DEM-013619,INS-002,1,1,150,24028
DEM-013621,INS-002,1,0,95,0
DEM-013626,INS-002,1,0,3,0
DEM-013629,INS-002,1,0,4,0
DEM-013630,INS-002,1,0,4,0
DEM-013631,INS-002,1,0,4,0
DEM-013645,INS-002,1,0,3,0
DEM-013649,INS-002,1,0,4,0
DEM-013650,INS-002,1,0,0,0
DEM-013651,INS-002,1,1,90,66666
DEM-013653,INS-002,1,0,4,0
DEM-013654,INS-002,1,0,4,0
DEM-013655,INS-002,1,0,4,0
DEM-013659,INS-002,1,0,63,0
DEM-013662,INS-002,1,0,4,0
DEM-013677,INS-002,1,0,0,0
DEM-013678,INS-002,1,0,21,0
DEM-013689,INS-002,1,0,4,0
DEM-013691,INS-002,1,0,3,0
DEM-013694,INS-002,1,0,0,0
DEM-013696,INS-002,1,0,0,0
DEM-013703,INS-002,1,0,4,0
DEM-013704,INS-002,1,0,30,0
DEM-013709,INS-002,1,0,3,0
DEM-013710,INS-002,1,0,4,0
DEM-013721,INS-002,1,0,4,0
DEM-013723,INS-002,1,1,90,23054
DEM-013725,INS-002,1,0,2,0
DEM-013727,INS-002,1,0,3,0
DEM-013729,INS-002,1,0,35,0
DEM-013730,INS-002,1,0,4,0
DEM-013732,INS-002,1,0,3,0
DEM-013733,INS-002,1,0,71,0
DEM-013747,INS-002,1,0,79,0
DEM-013767,INS-002,1,0,0,0
DEM-013780,INS-002,1,0,4,0
DEM-013781,INS-002,1,0,0,0
DEM-013785,INS-002,0,0,3,0
DEM-013786,INS-002,1,0,1,0
DEM-013793,INS-002,1,0,9,0
DEM-013802,INS-002,0,0,4,0
DEM-013807,INS-002,0,0,15,0
DEM-013815,INS-002,1,1,90,61666
DEM-013818,INS-002,1,1,121,130666
DEM-013819,INS-002,1,0,2,0
DEM-013820,INS-002,1,0,30,0
DEM-013823,INS-002,1,0,0,0
DEM-013824,INS-002,1,0,0,0
DEM-013831,INS-002,1,1,90,25689
DEM-013833,INS-002,1,0,4,0
DEM-013838,INS-002,1,0,4,0
DEM-013842,INS-002,1,0,4,0
DEM-013843,INS-002,1,1,90,2937
DEM-013844,INS-002,1,0,62,0
DEM-013845,INS-002,1,0,0,0
DEM-013846,INS-002,0,0,4,0
DEM-013848,INS-002,1,0,1,0
DEM-013851,INS-002,1,0,2,0
DEM-013867,INS-002,1,0,4,0
DEM-013870,INS-002,1,0,4,0
DEM-013873,INS-002,1,0,42,0
DEM-013876,INS-002,1,0,4,0
DEM-013877,INS-002,1,0,4,0
DEM-013878,INS-002,1,0,4,0
DEM-013879,INS-002,0,0,4,0
DEM-013881,INS-002,1,0,30,0
DEM-013894,INS-002,1,0,35,0
DEM-013896,INS-002,1,0,35,0
DEM-013897,INS-002,1,0,26,0
DEM-013900,INS-002,1,0,3,0
DEM-013901,INS-002,1,0,0,0
DEM-013909,INS-002,1,0,16,0
DEM-013910,INS-002,1,0,2,0
DEM-013915,INS-002,1,1,90,47083
DEM-013920,INS-002,1,0,31,0
DEM-013924,INS-002,1,0,4,0
DEM-013933,INS-002,1,0,4,0
DEM-013934,INS-002,1,0,4,0
DEM-013936,INS-002,1,0,30,0
DEM-013938,INS-002,1,0,1,0
DEM-013939,INS-002,1,0,4,0
DEM-013950,INS-002,1,0,2,0
DEM-013953,INS-002,1,0,28,0
DEM-013954,INS-002,1,0,4,0
DEM-013955,INS-002,1,0,0,0
DEM-013964,INS-002,0,0,8,0
DEM-013970,INS-002,1,0,20,0
DEM-013975,INS-002,1,0,19,0
DEM-013984,INS-002,1,1,90,26697
DEM-013987,INS-002,1,0,4,0
DEM-014000,INS-002,1,0,4,0
DEM-014001,INS-002,1,0,4,0
DEM-014014,INS-002,1,1,90,24166
DEM-014015,INS-002,1,1,90,9089
DEM-014016,INS-002,1,1,90,8768
DEM-014020,INS-002,1,0,3,0
DEM-014023,INS-002,0,0,4,0
DEM-014025,INS-002,1,0,3,0
DEM-014026,INS-002,1,0,4,0
DEM-014027,INS-002,1,0,27,0
DEM-014035,INS-002,1,0,3,0
DEM-014036,INS-002,1,0,3,0
DEM-014037,INS-002,1,0,4,0
DEM-014039,INS-002,1,0,2,0
DEM-014040,INS-002,1,1,90,31666
DEM-014045,INS-002,1,1,121,43454
DEM-014054,INS-002,1,0,4,0
DEM-014058,INS-002,1,0,0,0
DEM-014062,INS-002,1,0,2,0
DEM-014080,INS-002,1,1,90,28750
DEM-014081,INS-002,0,0,28,0
DEM-014085,INS-002,1,0,4,0
DEM-014090,INS-002,1,0,3,0
DEM-014094,INS-002,1,0,28,0
DEM-014100,INS-002,0,0,4,0
DEM-014104,INS-002,1,0,4,0
DEM-014108,INS-002,1,1,90,10833
DEM-014109,INS-002,1,0,4,0
DEM-014110,INS-002,1,0,0,0
DEM-014113,INS-002,0,0,4,0
DEM-014114,INS-002,1,0,4,0
DEM-014116,INS-002,1,0,4,0
DEM-014118,INS-002,1,0,4,0
DEM-014119,INS-002,1,0,45,0
DEM-014120,INS-002,1,1,90,25153
DEM-014131,INS-002,1,0,4,0
DEM-014132,INS-002,1,0,3,0
DEM-014133,INS-002,1,0,4,0
DEM-014136,INS-002,1,0,4,0
DEM-014137,INS-002,1,0,35,0
DEM-014145,INS-002,1,0,3,0
DEM-014147,INS-002,1,0,0,0
DEM-014157,INS-002,1,0,4,0
DEM-014176,INS-002,1,0,2,0
DEM-014180,INS-002,1,0,4,0
DEM-014181,INS-002,1,0,4,0
DEM-014184,INS-002,1,0,4,0
DEM-014185,INS-002,1,0,28,0
DEM-014189,INS-002,1,0,4,0
DEM-014193,INS-002,1,0,21,0
DEM-014194,INS-002,1,0,2,0
DEM-014195,INS-002,1,0,32,0
DEM-014196,INS-002,1,0,18,0
DEM-014215,INS-002,1,0,3,0
DEM-014219,INS-002,0,0,32,0
DEM-014226,INS-002,1,0,63,0
DEM-014230,INS-002,1,0,4,0
DEM-014232,INS-002,1,0,4,0
DEM-014233,INS-002,1,0,8,0
DEM-014234,INS-002,1,0,28,0
DEM-014235,INS-002,1,0,34,0
DEM-014236,INS-002,1,0,33,0
DEM-014246,INS-002,1,0,4,0
DEM-014247,INS-002,1,0,0,0
DEM-014256,INS-002,1,0,32,0
DEM-014262,INS-002,1,0,0,0
DEM-014266,INS-002,1,0,3,0
DEM-014267,INS-002,1,0,17,0
DEM-014268,INS-002,1,0,3,0
DEM-014272,INS-002,1,0,1,0
DEM-014277,INS-002,1,0,4,0
DEM-014290,INS-002,1,0,4,0
DEM-014291,INS-002,1,1,90,40833
DEM-014292,INS-002,1,0,29,0
DEM-014293,INS-002,1,0,4,0
DEM-014298,INS-002,0,0,12,0
DEM-014299,INS-002,1,0,4,0
DEM-014300,INS-002,1,0,4,0
DEM-014301,INS-002,1,0,4,0
DEM-014306,INS-002,1,0,4,0
DEM-014315,INS-002,1,1,90,28750
DEM-014320,INS-002,1,1,90,9583
DEM-014321,INS-002,1,0,4,0
DEM-014322,INS-002,1,0,4,0
DEM-014323,INS-002,1,0,4,0
DEM-014326,INS-002,1,0,18,0
DEM-014334,INS-002,1,0,3,0
DEM-014335,INS-002,1,0,4,0
DEM-014336,INS-002,0,0,0,0
DEM-014343,INS-002,1,0,2,0
DEM-014345,INS-002,1,0,4,0
DEM-014346,INS-002,1,0,3,0
DEM-014354,INS-002,1,0,28,0
DEM-014355,INS-002,1,0,3,0
DEM-014356,INS-002,1,0,2,0
DEM-014357,INS-002,1,0,0,0
DEM-014359,INS-002,1,1,90,25835
DEM-014370,INS-002,1,0,3,0
DEM-014372,INS-002,1,0,4,0
DEM-014373,INS-002,1,0,3,0
DEM-014374,INS-002,1,0,4,0
DEM-014386,INS-002,1,0,13,0
DEM-014392,INS-002,1,0,3,0
DEM-014395,INS-002,1,0,4,0
DEM-014396,INS-002,1,0,31,0
DEM-014397,INS-002,1,0,30,0
DEM-014400,INS-002,1,0,0,0
DEM-014403,INS-002,1,0,0,0
DEM-014416,INS-002,1,0,4,0
DEM-014418,INS-002,1,0,3,0
DEM-014428,INS-002,1,0,4,0
DEM-014438,INS-002,0,0,4,0
DEM-014462,INS-002,1,0,4,0
DEM-014464,INS-002,1,0,20,0
DEM-014466,INS-002,1,0,4,0
DEM-014475,INS-002,1,0,0,0
DEM-014477,INS-002,1,1,151,82500
DEM-014478,INS-002,0,1,90,42777
DEM-014479,INS-002,1,0,4,0
DEM-014494,INS-002,1,0,34,0
DEM-014495,INS-002,1,1,182,355552
DEM-014497,INS-002,0,0,3,0
DEM-014504,INS-002,1,0,34,0
DEM-014513,INS-002,1,0,3,0
DEM-014518,INS-002,1,0,27,0
DEM-014523,INS-002,1,1,135,108711
DEM-014525,INS-002,1,0,3,0
DEM-014532,INS-002,1,0,1,0
DEM-014535,INS-002,1,0,2,0
DEM-014537,INS-002,1,0,2,0
DEM-014540,INS-002,1,0,3,0
DEM-014541,INS-002,1,0,3,0
DEM-014543,INS-002,1,0,29,0
DEM-014544,INS-002,1,0,11,0
DEM-014545,INS-002,1,0,4,0
DEM-014546,INS-002,1,1,90,2712
DEM-014551,INS-002,1,0,4,0
DEM-014556,INS-002,1,0,4,0
DEM-014557,INS-002,1,0,26,0
DEM-014558,INS-002,1,0,3,0
DEM-014563,INS-002,1,0,4,0
DEM-014566,INS-002,1,0,69,0
DEM-014567,INS-002,1,0,2,0
DEM-014571,INS-002,1,0,29,0
DEM-014574,INS-002,1,0,2,0
DEM-014577,INS-002,1,0,4,0
DEM-014579,INS-002,0,0,0,0
DEM-014583,INS-002,1,0,4,0
DEM-014586,INS-002,1,0,4,0
DEM-014591,INS-002,1,0,28,0
DEM-014595,INS-002,1,0,4,0
DEM-014605,INS-002,1,0,4,0
DEM-014625,INS-002,1,0,35,0
DEM-014626,INS-002,1,1,90,5747
DEM-014630,INS-002,1,0,4,0
DEM-014631,INS-002,1,0,4,0
DEM-014633,INS-002,1,0,35,0
DEM-014636,INS-002,1,0,2,0
DEM-014646,INS-002,1,0,29,0
DEM-014647,INS-002,1,0,19,0
DEM-014649,INS-002,1,0,3,0
DEM-014651,INS-002,1,0,4,0
DEM-014652,INS-002,1,0,4,0
DEM-014663,INS-002,1,0,3,0
DEM-014665,INS-002,1,1,90,17515
DEM-014666,INS-002,1,0,32,0
DEM-014675,INS-002,1,0,4,0
DEM-014676,INS-002,1,0,3,0
DEM-014684,INS-002,1,0,4,0
DEM-014686,INS-002,1,0,4,0
DEM-014687,INS-002,1,0,31,0
DEM-014694,INS-002,1,0,80,0
DEM-014696,INS-002,1,0,0,0
DEM-014698,INS-002,1,0,4,0
DEM-014699,INS-002,1,0,4,0
DEM-014706,INS-002,1,0,4,0
DEM-014707,INS-002,1,0,3,0
DEM-014708,INS-002,1,0,32,0
DEM-014709,INS-002,1,0,2,0
DEM-014714,INS-002,1,1,90,9700
DEM-014723,INS-002,1,0,4,0
DEM-014724,INS-002,1,0,3,0
DEM-014726,INS-002,1,0,0,0
DEM-014728,INS-002,1,0,49,0
DEM-014732,INS-002,1,0,26,0
DEM-014733,INS-002,1,0,4,0
DEM-014734,INS-002,1,0,25,0
DEM-014738,INS-002,1,0,3,0
DEM-014742,INS-002,1,1,90,9587
DEM-014746,INS-002,1,0,4,0
DEM-014748,INS-002,1,0,4,0
DEM-014750,INS-002,1,0,4,0
DEM-014751,INS-002,1,0,3,0
DEM-014755,INS-002,1,1,90,33750
DEM-014762,INS-002,1,0,4,0
DEM-014772,INS-002,1,1,90,41666
DEM-014773,INS-002,1,0,30,0
DEM-014776,INS-002,1,0,4,0
DEM-014779,INS-002,1,1,119,53340
DEM-014781,INS-002,1,1,90,83334
DEM-014783,INS-002,1,0,31,0
DEM-014784,INS-002,1,0,4,0
DEM-014791,INS-002,1,0,0,0
DEM-014792,INS-002,1,1,90,16666
DEM-014794,INS-002,1,0,4,0
DEM-014798,INS-002,1,0,3,0
DEM-014799,INS-002,1,0,33,0
DEM-014800,INS-002,1,0,4,0
DEM-014801,INS-002,1,0,35,0
DEM-014802,INS-002,1,0,0,0
DEM-014806,INS-002,1,0,4,0
DEM-014823,INS-002,1,0,4,0
DEM-014834,INS-002,1,0,4,0
DEM-014839,INS-002,1,0,4,0
DEM-014846,INS-002,1,0,0,0
DEM-014852,INS-002,1,0,4,0
DEM-014853,INS-002,1,0,0,0
DEM-014854,INS-002,1,0,3,0
DEM-014855,INS-002,1,1,90,35998
DEM-014856,INS-002,1,0,4,0
DEM-014865,INS-002,0,0,4,0
DEM-014866,INS-002,1,0,4,0
DEM-014869,INS-002,1,0,30,0
DEM-014872,INS-002,1,0,4,0
DEM-014873,INS-002,1,0,4,0
DEM-014876,INS-002,1,1,90,4036
DEM-014877,INS-002,1,0,28,0
DEM-014878,INS-002,1,0,9,0
DEM-014879,INS-002,1,0,30,0
DEM-014880,INS-002,1,0,1,0
DEM-014881,INS-002,1,0,4,0
DEM-014883,INS-002,1,0,3,0
DEM-014884,INS-002,1,0,0,0
DEM-014889,INS-002,1,0,4,0
DEM-014890,INS-002,1,0,4,0
DEM-014893,INS-002,1,1,90,7459
DEM-014896,INS-002,1,0,4,0
DEM-014905,INS-002,0,0,4,0
DEM-014907,INS-002,1,0,0,0
DEM-014919,INS-002,1,0,28,0
DEM-014932,INS-002,1,0,36,0
DEM-014940,INS-002,1,1,90,13025
DEM-014943,INS-002,1,0,4,0
DEM-014945,INS-002,1,0,4,0
DEM-014953,INS-002,1,0,34,0
DEM-014954,INS-002,1,0,0,0
DEM-014961,INS-002,1,0,0,0
DEM-014966,INS-002,1,0,4,0
DEM-014967,INS-002,0,0,56,0
DEM-014969,INS-002,1,0,30,0
DEM-014976,INS-002,1,0,3,0
DEM-014986,INS-002,1,1,90,27777
DEM-014993,INS-002,1,1,90,9142
DEM-014994,INS-002,1,0,0,0
DEM-014999,INS-002,1,0,4,0
DEM-015001,INS-002,1,0,4,0
DEM-015002,INS-002,1,0,4,0
DEM-015013,INS-002,1,0,3,0
DEM-015016,INS-002,1,0,2,0
DEM-015019,INS-002,1,0,0,0
DEM-015024,INS-002,1,0,3,0
DEM-015030,INS-002,1,0,0,0
DEM-015037,INS-002,1,0,4,0
DEM-015038,INS-002,1,0,4,0
DEM-015039,INS-002,0,0,4,0
DEM-015040,INS-002,1,0,4,0
DEM-015041,INS-002,1,0,27,0
DEM-015045,INS-002,1,0,4,0
DEM-015046,INS-002,1,0,4,0
DEM-015047,INS-002,1,0,4,0
DEM-015048,INS-002,1,1,90,1968
DEM-015050,INS-002,1,0,0,0
DEM-015054,INS-002,1,0,3,0
DEM-015060,INS-002,1,0,4,0
DEM-015062,INS-002,1,0,49,0
DEM-015074,INS-002,0,0,4,0
DEM-015083,INS-002,1,0,4,0
DEM-015086,INS-002,1,0,27,0
DEM-015088,INS-002,1,0,3,0
DEM-015093,INS-002,1,0,8,0
DEM-015094,INS-002,1,1,90,50000
DEM-015095,INS-002,1,1,90,50000
DEM-015100,INS-002,1,0,0,0
DEM-015101,INS-002,1,0,36,0
DEM-015112,INS-002,1,0,2,0
DEM-015138,INS-002,1,0,0,0
DEM-015139,INS-002,1,0,0,0
DEM-015142,INS-002,0,1,90,22500
DEM-015147,INS-002,1,0,10,0
DEM-015150,INS-002,1,0,35,0
DEM-015151,INS-002,1,0,1,0
DEM-015152,INS-002,1,0,3,0
DEM-015153,INS-002,1,0,43,0
DEM-015156,INS-002,1,1,90,42083
DEM-015157,INS-002,0,0,5,0
DEM-015160,INS-002,1,0,4,0
DEM-015164,INS-002,1,0,4,0
DEM-015167,INS-002,1,0,3,0
DEM-015168,INS-002,1,0,2,0
DEM-015169,INS-002,1,0,4,0
DEM-015170,INS-002,1,0,0,0
DEM-015173,INS-002,1,0,3,0
DEM-015176,INS-002,1,0,4,0
DEM-015182,INS-002,1,0,2,0
DEM-015191,INS-002,1,0,34,0
DEM-015196,INS-002,1,0,1,0
DEM-015203,INS-002,1,0,4,0
DEM-015206,INS-002,1,0,4,0
DEM-015209,INS-002,1,0,3,0
DEM-015210,INS-002,1,0,33,0
DEM-015211,INS-002,1,0,0,0
DEM-015213,INS-002,1,0,4,0
DEM-015215,INS-002,1,1,90,11597
DEM-015220,INS-002,1,1,90,17037
DEM-015230,INS-002,1,0,3,0
DEM-015240,INS-002,1,0,4,0
DEM-015241,INS-002,1,0,1,0
DEM-015243,INS-002,1,0,4,0
DEM-015245,INS-002,1,0,1,0
DEM-015246,INS-002,1,0,4,0
DEM-015249,INS-002,1,0,0,0
DEM-015252,INS-002,1,0,3,0
DEM-015254,INS-002,0,0,4,0
DEM-015255,INS-002,0,0,4,0
DEM-015267,INS-002,0,0,3,0
DEM-015271,INS-002,1,0,4,0
DEM-015272,INS-002,1,0,4,0
DEM-015273,INS-002,0,1,90,13888
DEM-015276,INS-002,1,0,4,0
DEM-015277,INS-002,1,0,3,0
DEM-015282,INS-002,0,0,3,0
DEM-015283,INS-002,1,0,4,0
DEM-015284,INS-002,1,0,29,0
DEM-015285,INS-002,1,0,4,0
DEM-015293,INS-002,1,0,4,0
DEM-015296,INS-002,1,0,28,0
DEM-015298,INS-002,1,1,90,8274
DEM-015299,INS-002,1,0,32,0
DEM-015300,INS-002,1,0,0,0
DEM-015305,INS-002,1,0,2,0
DEM-015308,INS-002,1,0,4,0
DEM-015312,INS-002,0,0,16,0
DEM-015313,INS-002,1,0,30,0
DEM-015314,INS-002,1,0,3,0
DEM-015316,INS-002,1,0,64,0
DEM-015319,INS-002,1,0,3,0
DEM-015322,INS-002,1,0,2,0
DEM-015340,INS-002,1,0,21,0
DEM-015343,INS-002,1,1,90,7770
DEM-015344,INS-002,1,0,35,0
DEM-015345,INS-002,1,0,33,0
DEM-015354,INS-002,1,0,1,0
DEM-015355,INS-002,0,0,45,0
DEM-015364,INS-002,1,1,210,50000
DEM-015370,INS-002,1,0,4,0
DEM-015375,INS-002,1,0,25,0
DEM-015385,INS-002,1,0,0,0
DEM-015388,INS-002,1,0,0,0
DEM-015394,INS-002,1,0,10,0
DEM-015395,INS-002,1,0,3,0
DEM-015399,INS-002,1,0,28,0
DEM-015403,INS-002,1,0,33,0
DEM-015415,INS-002,1,0,31,0
DEM-015416,INS-002,1,0,31,0
DEM-015420,INS-002,1,0,4,0
DEM-015421,INS-002,1,0,4,0
DEM-015432,INS-002,1,0,4,0
DEM-015433,INS-002,1,0,4,0
DEM-015447,INS-002,1,0,1,0
DEM-015459,INS-002,1,0,4,0
DEM-015461,INS-002,1,0,8,0
DEM-015462,INS-002,1,0,34,0
DEM-015463,INS-002,0,1,90,8333
DEM-015470,INS-002,1,0,3,0
DEM-015473,INS-002,1,0,4,0
DEM-015474,INS-002,1,0,36,0
DEM-015477,INS-002,1,1,90,20749
DEM-015483,INS-002,1,0,1,0
DEM-015486,INS-002,1,0,3,0
DEM-015487,INS-002,1,1,90,27777
DEM-015492,INS-002,1,0,0,0
DEM-015495,INS-002,1,0,7,0
DEM-015504,INS-002,1,0,4,0
DEM-015513,INS-002,1,0,3,0
DEM-015516,INS-002,1,0,2,0
DEM-015531,INS-002,1,0,2,0
DEM-015535,INS-002,1,0,77,0
DEM-015547,INS-002,1,0,34,0
DEM-015548,INS-002,1,0,4,0
DEM-015552,INS-002,1,0,32,0
DEM-015553,INS-002,1,0,1,0
DEM-015554,INS-002,1,0,19,0
DEM-015560,INS-002,1,0,53,0
DEM-015562,INS-002,1,0,0,0
DEM-015565,INS-002,1,0,28,0
DEM-015567,INS-002,1,0,4,0
DEM-015581,INS-002,1,1,90,8333
DEM-015583,INS-002,1,0,23,0
DEM-015591,INS-002,1,0,4,0
DEM-015597,INS-002,1,1,90,35833
DEM-015602,INS-002,1,0,29,0
DEM-015603,INS-002,1,0,3,0
DEM-015612,INS-002,1,0,0,0
DEM-015615,INS-002,1,0,4,0
DEM-015616,INS-002,1,0,2,0
DEM-015625,INS-002,1,0,4,0
DEM-015627,INS-002,0,0,4,0
DEM-015628,INS-002,1,0,4,0
DEM-015631,INS-002,1,0,10,0
DEM-015633,INS-002,1,0,4,0
DEM-015634,INS-002,1,0,0,0
DEM-015637,INS-002,1,0,4,0
DEM-015638,INS-002,1,0,4,0
DEM-015639,INS-002,1,0,4,0
DEM-015640,INS-002,1,0,0,0
DEM-015647,INS-002,1,0,29,0
DEM-015648,INS-002,0,0,0,0
DEM-015654,INS-002,1,0,1,0
DEM-015661,INS-002,1,0,4,0
DEM-015662,INS-002,0,0,80,0
DEM-015665,INS-002,1,0,28,0
DEM-015667,INS-002,1,0,2,0
DEM-015670,INS-002,0,0,28,0
DEM-015674,INS-002,1,0,1,0
DEM-015679,INS-002,1,0,0,0
DEM-015683,INS-002,1,0,12,0
DEM-015687,INS-002,1,0,2,0
DEM-015689,INS-002,1,0,35,0
DEM-015690,INS-002,1,0,4,0
DEM-015693,INS-002,0,1,90,30000
DEM-015708,INS-002,1,0,3,0
DEM-015709,INS-002,1,0,3,0
DEM-015713,INS-002,1,0,11,0
DEM-015714,INS-002,1,0,35,0
DEM-015716,INS-002,1,0,4,0
DEM-015724,INS-002,0,0,33,0
DEM-015728,INS-002,1,0,4,0
DEM-015739,INS-002,1,0,4,0
DEM-015741,INS-002,1,0,3,0
DEM-015742,INS-002,1,0,21,0
DEM-015759,INS-002,1,0,4,0
DEM-015764,INS-002,1,0,34,0
DEM-015766,INS-002,1,1,121,100000
DEM-015768,INS-002,1,0,75,0
DEM-015770,INS-002,1,0,0,0
DEM-015775,INS-002,1,0,1,0
DEM-015776,INS-002,1,0,59,0
DEM-015781,INS-002,1,1,90,107041
DEM-015787,INS-002,1,0,3,0
DEM-015789,INS-002,1,0,33,0
DEM-015797,INS-002,1,0,9,0
DEM-015798,INS-002,1,0,18,0
DEM-015799,INS-002,0,0,2,0
DEM-015801,INS-002,1,0,4,0
DEM-015820,INS-002,1,0,29,0
DEM-015823,INS-002,1,0,12,0
DEM-015831,INS-002,1,0,3,0
DEM-015840,INS-002,1,0,4,0
DEM-015841,INS-002,0,0,34,0
DEM-015845,INS-002,1,0,3,0
DEM-015848,INS-002,1,1,90,16670
DEM-015849,INS-002,0,0,3,0
DEM-015850,INS-002,1,0,3,0
DEM-015854,INS-002,1,0,3,0
DEM-015856,INS-002,1,0,0,0
DEM-015857,INS-002,1,1,90,3370
DEM-015859,INS-002,1,0,4,0
DEM-015862,INS-002,1,0,18,0
DEM-015869,INS-002,1,1,90,19166
DEM-015870,INS-002,1,0,0,0
DEM-015874,INS-002,1,1,121,103324
DEM-015875,INS-002,1,0,1,0
DEM-015877,INS-002,1,0,5,0
DEM-015885,INS-002,1,1,90,9344
DEM-015886,INS-002,1,0,32,0
DEM-015887,INS-002,1,0,2,0
DEM-015888,INS-002,1,0,0,0
DEM-015893,INS-002,0,0,3,0
DEM-015895,INS-002,1,0,4,0
DEM-015906,INS-002,1,0,57,0
DEM-015908,INS-002,1,0,4,0
DEM-015909,INS-002,1,0,4,0
DEM-015917,INS-002,1,0,4,0
DEM-015922,INS-002,1,0,5,0
DEM-015923,INS-002,0,0,4,0
DEM-015929,INS-002,1,0,4,0
DEM-015930,INS-002,1,0,35,0
DEM-015935,INS-002,1,0,61,0
DEM-015940,INS-002,1,0,0,0
DEM-015942,INS-002,1,0,4,0
DEM-015944,INS-002,1,0,3,0
DEM-015946,INS-002,1,0,60,0
DEM-015949,INS-002,1,0,24,0
DEM-015951,INS-002,1,0,4,0
DEM-015954,INS-002,1,0,4,0
DEM-015955,INS-002,1,0,4,0
DEM-015956,INS-002,1,0,12,0
DEM-015957,INS-002,1,0,2,0
DEM-015958,INS-002,1,0,0,0
DEM-015985,INS-002,1,0,3,0
DEM-015996,INS-002,1,1,151,36143
DEM-015997,INS-002,1,1,90,13333
DEM-015999,INS-002,1,1,92,7538
DEM-016005,INS-002,1,0,4,0
DEM-016013,INS-002,1,0,37,0
DEM-016016,INS-002,1,1,90,27777
DEM-016017,INS-002,1,0,0,0
DEM-016018,INS-002,1,0,29,0
DEM-016019,INS-002,1,0,1,0
DEM-016032,INS-002,1,0,2,0
DEM-016035,INS-002,1,0,4,0
DEM-016036,INS-002,1,0,4,0
DEM-016037,INS-002,1,0,4,0
DEM-016044,INS-002,1,0,0,0
DEM-016047,INS-002,1,0,33,0
DEM-016050,INS-002,1,0,2,0
DEM-016053,INS-002,1,0,0,0
DEM-016055,INS-002,1,0,3,0
DEM-016056,INS-002,1,0,4,0
DEM-016061,INS-002,1,1,90,17364
DEM-016063,INS-002,1,0,35,0
DEM-016068,INS-002,1,0,28,0
DEM-016070,INS-002,1,0,4,0
DEM-016076,INS-002,1,0,4,0
DEM-016078,INS-002,1,1,90,7825
DEM-016079,INS-002,1,0,21,0
DEM-016084,INS-002,1,1,90,8333
DEM-016086,INS-002,1,0,0,0
DEM-016088,INS-002,1,0,30,0
DEM-016089,INS-002,1,0,29,0
DEM-016094,INS-002,1,0,4,0
DEM-016095,INS-002,1,0,1,0
DEM-016103,INS-002,0,1,120,33332
DEM-016107,INS-002,1,1,90,58333
DEM-016112,INS-002,1,0,4,0
DEM-016113,INS-002,1,1,90,9050
DEM-016114,INS-002,1,0,3,0
DEM-016122,INS-002,1,0,4,0
DEM-016124,INS-002,1,0,4,0
DEM-016125,INS-002,1,0,57,0
DEM-016126,INS-002,1,0,3,0
DEM-016127,INS-002,1,0,26,0
DEM-016128,INS-002,1,0,0,0
DEM-016136,INS-002,1,0,4,0
DEM-016144,INS-002,1,0,0,0
DEM-016150,INS-002,1,0,0,0
DEM-016155,INS-002,1,0,12,0
DEM-016156,INS-002,1,0,3,0
DEM-016157,INS-002,1,0,2,0
DEM-016160,INS-002,1,0,1,0
DEM-016161,INS-002,1,0,1,0
DEM-016171,INS-002,1,0,3,0
DEM-016174,INS-002,1,0,4,0
DEM-016180,INS-002,1,0,4,0
DEM-016181,INS-002,1,0,4,0
DEM-016182,INS-002,1,0,2,0
DEM-016185,INS-002,0,1,90,2509
DEM-016186,INS-002,1,0,33,0
DEM-016188,INS-002,1,0,59,0
DEM-016195,INS-002,1,0,4,0
DEM-016205,INS-002,1,0,2,0
DEM-016212,INS-002,1,0,3,0
DEM-016219,INS-002,1,0,17,0
DEM-016229,INS-002,1,0,4,0
DEM-016233,INS-002,1,0,4,0
