identifiant_activite,identifiant_client,recettes_initiales,marge_structurelle,croissance_annuelle,volatilite_recettes,amplitude_saisonniere,mois_pic
ACT-011543,CLT-009588,108797,0.2317,0.1785,0.2947,0.5531,12
ACT-011544,CLT-009589,576216,0.0426,0.1702,0.0946,0.1974,11
ACT-011545,CLT-009590,156177,0.1009,0.1036,0.5953,0.2001,12
ACT-011546,CLT-009591,488278,0.0499,0.0663,0.0787,0.1865,12
ACT-011547,CLT-009592,101081,0.3627,-0.0253,0.2031,0.1584,9
ACT-011548,CLT-009592,80124,0.1511,0.1013,0.1603,0.2653,12
ACT-011549,CLT-009593,69971,0.2821,0.0502,0.1717,0.2876,12
ACT-011550,CLT-009593,90690,0.1385,0.2021,0.1691,0.1437,11
ACT-011551,CLT-009594,334448,0.0721,-0.0012,0.2231,0.1372,12
ACT-011552,CLT-009595,217722,0.0910,-0.0266,0.1758,0.1140,12
ACT-011553,CLT-009595,233082,0.1297,-0.0227,0.1362,0.1537,8
ACT-011554,CLT-009596,165963,0.2464,0.0754,0.0999,0.1302,10
ACT-011555,CLT-009596,158526,0.2361,-0.0813,0.1762,0.2659,12
ACT-011556,CLT-009597,110159,0.2411,-0.0314,0.4219,0.5004,11
ACT-011557,CLT-009598,186768,0.2152,0.0990,0.1531,0.0883,12
ACT-011558,CLT-009599,100229,0.3077,-0.0359,0.4886,0.2770,8
ACT-011559,CLT-009599,333561,0.0200,-0.0481,0.4487,0.1125,12
ACT-011560,CLT-009600,53360,0.4230,-0.0167,0.1473,0.1673,10
ACT-011561,CLT-009600,147082,0.3989,0.1476,0.1385,0.2495,12
ACT-011562,CLT-009601,88951,0.1848,-0.1406,0.2828,0.2797,11
ACT-011563,CLT-009602,728580,0.1571,0.0127,0.1385,0.1870,12
ACT-011564,CLT-009603,141625,0.1932,0.1204,0.1798,0.2560,12
ACT-011565,CLT-009604,755116,0.2371,0.0199,0.3793,0.6239,11
ACT-011566,CLT-009605,313743,0.0579,0.0238,0.1646,0.0439,9
ACT-011567,CLT-009605,417701,0.0983,0.0263,0.2907,0.2163,11
ACT-011568,CLT-009606,328132,0.3442,0.0477,0.1423,0.1918,10
ACT-011569,CLT-009607,278345,0.0441,0.0356,0.2211,0.1527,11
ACT-011570,CLT-009608,441461,0.1461,0.0014,0.0574,0.1679,12
ACT-011571,CLT-009609,96789,0.2726,0.3196,0.3838,0.5723,11
ACT-011572,CLT-009610,473420,0.1140,0.0008,0.2487,0.1575,12
ACT-011573,CLT-009611,359576,0.2865,-0.1791,0.1813,0.1378,9
ACT-011574,CLT-009612,198234,0.4257,-0.1617,0.1527,0.1347,12
ACT-011575,CLT-009613,350359,0.0987,0.1177,0.1207,0.1376,12
ACT-011576,CLT-009614,78328,0.3522,-0.1023,0.1915,0.1617,12
ACT-011577,CLT-009615,113985,0.2064,-0.0580,0.5638,0.2710,12
ACT-011578,CLT-009616,440456,0.0891,0.0084,0.2079,0.2344,12
ACT-011579,CLT-009617,322133,0.1604,0.1400,0.2642,0.1814,11
ACT-011580,CLT-009618,724244,0.0438,0.0398,0.2197,0.2076,11
ACT-011581,CLT-009618,100225,0.1610,-0.0402,0.1585,0.0488,12
ACT-011582,CLT-009619,667012,0.1023,-0.0317,0.1048,0.2542,12
ACT-011583,CLT-009620,133340,0.2717,0.0067,0.2239,0.3751,11
ACT-011584,CLT-009621,254198,0.0954,0.0368,0.2839,0.2154,12
ACT-011585,CLT-009622,273258,0.0958,0.1029,0.1384,0.1551,12
ACT-011586,CLT-009623,966245,0.1656,0.1242,0.3308,0.2547,12
ACT-011587,CLT-009624,509847,0.1717,-0.0107,0.1287,0.2607,11
ACT-011588,CLT-009625,274968,0.2704,0.0029,0.2905,0.5457,10
ACT-011589,CLT-009626,284485,0.2281,0.2627,0.1250,0.1386,12
ACT-011590,CLT-009626,68580,0.3033,0.0928,0.1265,0.1596,10
ACT-011591,CLT-009627,350338,0.3161,0.0053,0.2211,0.2020,11
ACT-011592,CLT-009628,279931,0.1385,-0.2298,0.1991,0.1843,12
ACT-011593,CLT-009629,131080,0.2717,0.1048,0.1944,0.4506,11
ACT-011594,CLT-009629,273586,0.2735,-0.0233,0.1899,0.4767,10
ACT-011595,CLT-009630,398689,0.2338,0.0281,0.1490,0.0848,8
ACT-011596,CLT-009630,42704,0.0599,0.0996,0.1650,0.1836,12
ACT-011597,CLT-009631,164154,0.0466,-0.1657,0.1603,0.1805,11
ACT-011598,CLT-009632,194258,0.1882,0.1830,0.1087,0.1607,12
ACT-011599,CLT-009633,207264,0.1579,0.0309,0.0792,0.1273,11
ACT-011600,CLT-009634,330888,0.0653,0.1910,0.1999,0.1729,12
ACT-011601,CLT-009634,79978,0.3240,0.0273,0.1918,0.2703,12
ACT-011602,CLT-009635,73624,0.1676,0.2308,0.1634,0.2198,11
ACT-011603,CLT-009636,216605,0.0933,-0.1198,0.2062,0.1507,11
ACT-011604,CLT-009637,99017,0.0884,-0.1400,0.2099,0.2665,11
ACT-011605,CLT-009637,50035,0.2545,0.0470,0.2592,0.1417,12
ACT-011606,CLT-009638,533252,0.1864,-0.0285,0.2074,0.2170,12
ACT-011607,CLT-009639,307118,0.0850,0.0688,0.1829,0.1499,12
ACT-011608,CLT-009640,417918,0.1345,-0.0050,0.1414,0.1962,12
ACT-011609,CLT-009641,580698,0.0975,0.1992,0.2911,0.2512,12
ACT-011610,CLT-009642,236763,0.1445,0.0348,0.1688,0.0915,12
ACT-011611,CLT-009643,735487,0.1620,-0.0055,0.1196,0.1655,12
ACT-011612,CLT-009644,38300,0.1340,-0.0754,0.0987,0.2647,11
ACT-011613,CLT-009645,76274,0.0769,0.2748,0.1302,0.2252,12
ACT-011614,CLT-009646,160063,0.1352,0.0949,0.5869,0.0921,12
ACT-011615,CLT-009647,182619,0.1464,0.0279,0.3147,0.5864,12
ACT-011616,CLT-009647,477269,0.1599,0.0638,0.1149,0.1486,12
ACT-011617,CLT-009648,180553,0.3124,0.0396,0.1486,0.0778,9
ACT-011618,CLT-009649,474174,0.2067,0.1408,0.1027,0.6387,11
ACT-011619,CLT-009650,44022,0.2090,-0.0271,0.2385,0.5614,11
ACT-011620,CLT-009651,206944,0.2970,0.1678,0.5008,0.1727,9
ACT-011621,CLT-009652,480328,0.0831,-0.0203,0.1237,0.2410,12
ACT-011622,CLT-009653,55652,0.1539,0.0732,0.1643,0.1325,12
ACT-011623,CLT-009654,348245,0.1608,-0.0354,0.1844,0.4906,11
ACT-011624,CLT-009654,75437,0.1443,-0.1304,0.1620,0.5476,11
ACT-011625,CLT-009655,269999,0.1976,-0.0457,0.1715,0.2034,12
ACT-011626,CLT-009655,49246,0.2246,0.0356,0.2287,0.1749,11
ACT-011627,CLT-009656,145175,0.2618,-0.1259,0.2674,0.1759,12
ACT-011628,CLT-009656,81684,0.2640,-0.1740,0.1736,0.1139,11
ACT-011629,CLT-009657,87734,0.1460,0.1407,0.2725,0.1744,12
ACT-011630,CLT-009658,213139,0.0713,-0.1186,0.1746,0.2029,10
ACT-011631,CLT-009659,310693,0.1290,0.1528,0.1084,0.6533,12
ACT-011632,CLT-009660,194609,0.1527,0.1552,0.2153,0.2460,12
ACT-011633,CLT-009661,34110,0.2748,-0.0862,0.2508,0.2369,12
ACT-011634,CLT-009662,390297,0.2911,0.1322,0.0859,0.1918,10
ACT-011635,CLT-009663,572471,0.0200,0.0126,0.5169,0.1251,12
ACT-011636,CLT-009664,79396,0.2444,0.0359,0.1102,0.2556,12
ACT-011637,CLT-009665,164984,0.1549,0.1759,0.1571,0.1187,12
ACT-011638,CLT-009665,19638,0.3597,0.1286,0.1312,0.1379,8
ACT-011639,CLT-009666,1399351,0.1436,-0.1437,0.1822,0.1361,12
ACT-011640,CLT-009667,568757,0.1300,-0.0978,0.1196,0.2320,12
ACT-011641,CLT-009668,266265,0.1795,0.0044,0.0909,0.1899,12
ACT-011642,CLT-009669,110935,0.2640,-0.0831,0.1315,0.0878,10
ACT-011643,CLT-009669,74325,0.1027,-0.0175,0.1851,0.1694,12
ACT-011644,CLT-009670,110962,0.3059,-0.0152,0.1386,0.2522,12
ACT-011645,CLT-009671,112976,0.3141,0.0359,0.2451,0.1969,11
ACT-011646,CLT-009671,85721,0.2013,-0.0370,0.2293,0.2394,12
ACT-011647,CLT-009672,165463,0.2812,0.1328,0.1479,0.1998,8
ACT-011648,CLT-009673,236404,0.1052,-0.2172,0.1478,0.2677,12
ACT-011649,CLT-009674,118399,0.1707,0.0547,0.1610,0.2304,12
ACT-011650,CLT-009675,319916,0.1265,-0.0645,0.0760,0.2357,11
ACT-011651,CLT-009675,79209,0.2177,0.0145,0.2391,0.2145,12
ACT-011652,CLT-009676,160282,0.1336,-0.0196,0.1843,0.1872,12
ACT-011653,CLT-009677,1165050,0.0598,0.0773,0.1450,0.1758,12
ACT-011654,CLT-009678,215159,0.2135,0.0962,0.2023,0.3478,11
ACT-011655,CLT-009678,120581,0.2699,0.0233,0.1668,0.1250,10
ACT-011656,CLT-009679,322178,0.2135,0.1993,0.2034,0.5576,11
ACT-011657,CLT-009679,222172,0.1422,0.0949,0.1902,0.5734,12
ACT-011658,CLT-009680,494899,0.0406,0.0361,0.1382,0.1954,11
ACT-011659,CLT-009681,249267,0.2306,-0.0157,0.2290,0.1879,12
ACT-011660,CLT-009682,318767,0.0677,0.0894,0.1707,0.1741,12
ACT-011661,CLT-009682,129125,0.1793,0.0357,0.1237,0.0995,12
ACT-011662,CLT-009683,86540,0.3585,0.1605,0.2031,0.1893,12
ACT-011663,CLT-009684,585577,0.0943,-0.0180,0.1941,0.1839,12
ACT-011664,CLT-009685,497954,0.0810,0.1115,0.3142,0.2012,12
ACT-011665,CLT-009686,178116,0.2662,-0.0998,0.2236,0.2552,11
ACT-011666,CLT-009687,180923,0.1723,-0.0543,0.1287,0.1292,12
ACT-011667,CLT-009688,935879,0.0681,0.1762,0.2446,0.2280,12
ACT-011668,CLT-009688,259298,0.0200,0.0435,0.1703,0.3401,11
ACT-011669,CLT-009689,172677,0.2689,-0.2245,0.2096,0.2935,8
ACT-011670,CLT-009689,125156,0.1238,-0.1155,0.2007,0.1909,11
ACT-011671,CLT-009690,77009,0.1264,0.1397,0.2147,0.1883,11
ACT-011672,CLT-009691,336315,0.0728,0.0008,0.1449,0.2070,11
ACT-011673,CLT-009692,51417,0.2999,-0.0386,0.1982,0.6523,9
ACT-011674,CLT-009693,309704,0.0917,0.0173,0.1253,0.1999,12
ACT-011675,CLT-009694,126803,0.1344,-0.0231,0.1752,0.2033,12
ACT-011676,CLT-009694,78155,0.1828,0.0152,0.1754,0.1916,11
ACT-011677,CLT-009695,673465,0.2595,-0.1435,0.1753,0.3118,11
ACT-011678,CLT-009696,82881,0.1376,0.0350,0.1476,0.0989,12
ACT-011679,CLT-009697,163748,0.0920,-0.0488,0.1306,0.1358,12
ACT-011680,CLT-009698,54204,0.0786,0.0632,0.1878,0.2019,12
ACT-011681,CLT-009699,561081,0.0933,-0.0940,0.1513,0.1525,11
ACT-011682,CLT-009700,317296,0.1606,-0.1222,0.1775,0.1304,12
ACT-011683,CLT-009701,566903,0.1389,0.1723,0.0999,0.2197,12
ACT-011684,CLT-009702,844390,0.2976,0.0774,0.1006,0.0883,8
ACT-011685,CLT-009703,123526,0.1449,0.0072,0.1957,0.2576,11
ACT-011686,CLT-009704,282295,0.2803,-0.1038,0.4134,0.4488,12
ACT-011687,CLT-009705,77753,0.1915,-0.0055,0.3043,0.2227,12
ACT-011688,CLT-009705,77677,0.2524,0.0959,0.0723,0.1935,9
ACT-011689,CLT-009706,264333,0.0998,0.1353,0.2066,0.0758,12
ACT-011690,CLT-009706,22477,0.2229,0.0641,0.2405,0.2761,11
ACT-011691,CLT-009707,91115,0.1091,0.1392,0.1131,0.5704,12
ACT-011692,CLT-009708,72512,0.2176,0.0298,0.2016,0.3241,11
ACT-011693,CLT-009708,240789,0.1269,-0.0814,0.3368,0.0633,11
ACT-011694,CLT-009709,113688,0.3187,-0.0315,0.1643,0.1869,10
ACT-011695,CLT-009710,234244,0.0814,0.1441,0.2311,0.2007,12
ACT-011696,CLT-009711,663950,0.1046,-0.1056,0.1732,0.2165,12
ACT-011697,CLT-009712,298892,0.1233,-0.0921,0.2005,0.2227,12
ACT-011698,CLT-009713,166511,0.0901,0.0535,0.2996,0.1525,11
ACT-011699,CLT-009714,108457,0.2041,0.0550,0.1360,0.2841,11
ACT-011700,CLT-009715,140324,0.2006,0.1146,0.2617,0.1956,12
ACT-011701,CLT-009715,619299,0.0485,0.0220,0.2219,0.1561,12
ACT-011702,CLT-009716,392364,0.1547,0.0242,0.5367,0.1585,11
ACT-011703,CLT-009716,171802,0.1935,0.0675,0.4559,0.1590,11
ACT-011704,CLT-009717,286493,0.1386,0.0623,0.0864,0.2215,12
ACT-011705,CLT-009718,477719,0.1599,0.0237,0.4802,0.1395,12
ACT-011706,CLT-009719,302731,0.1234,0.2853,0.1128,0.1618,11
ACT-011707,CLT-009720,43104,0.4294,-0.1269,0.1173,0.1727,12
ACT-011708,CLT-009721,366736,0.1162,0.1554,0.1197,0.2548,12
ACT-011709,CLT-009722,660546,0.1355,0.0634,0.2181,0.1558,11
ACT-011710,CLT-009723,241398,0.2524,-0.0328,0.1787,0.2698,12
ACT-011711,CLT-009724,168557,0.1692,0.2557,0.1611,0.1266,12
ACT-011712,CLT-009724,105450,0.2489,0.2249,0.1937,0.1607,12
ACT-011713,CLT-009725,381980,0.3109,0.2497,0.1546,0.1024,8
ACT-011714,CLT-009726,677488,0.0659,-0.0293,0.1922,0.2311,12
ACT-011715,CLT-009727,277563,0.1245,-0.0081,0.1258,0.1508,11
ACT-011716,CLT-009727,43911,0.3029,0.0662,0.1679,0.0837,10
ACT-011717,CLT-009728,40512,0.0877,-0.0343,0.1809,0.2209,12
ACT-011718,CLT-009728,41224,0.2498,0.0209,0.2114,0.2216,12
ACT-011719,CLT-009729,88142,0.2375,0.0162,0.1669,0.1070,12
ACT-011720,CLT-009729,46629,0.1364,-0.0979,0.1129,0.1742,12
ACT-011721,CLT-009730,334627,0.2921,0.0899,0.2418,0.2179,8
ACT-011722,CLT-009731,75227,0.1405,0.0507,0.1321,0.2289,12
ACT-011723,CLT-009732,150547,0.2567,0.0862,0.2455,0.2806,12
ACT-011724,CLT-009732,123096,0.2338,0.0792,0.1381,0.2279,11
ACT-011725,CLT-009733,201471,0.3961,0.1628,0.1324,0.1326,8
ACT-011726,CLT-009734,434356,0.2113,-0.0375,0.1876,0.1363,11
ACT-011727,CLT-009734,255744,0.1004,-0.1268,0.0796,0.1660,12
ACT-011728,CLT-009735,172403,0.1004,0.2219,0.5709,0.1477,12
ACT-011729,CLT-009736,239221,0.0257,0.0470,0.1233,0.2257,12
ACT-011730,CLT-009737,396982,0.3772,-0.0158,0.2309,0.4559,11
ACT-011731,CLT-009738,1723268,0.1091,0.2172,0.2721,0.1713,11
ACT-011732,CLT-009739,56554,0.4349,0.1327,0.1105,0.2147,12
ACT-011733,CLT-009740,107658,0.0661,0.0423,0.1602,0.1601,11
ACT-011734,CLT-009741,495480,0.0870,-0.0678,0.1303,0.1543,11
ACT-011735,CLT-009742,108801,0.1271,0.1855,0.2285,0.1282,12
ACT-011736,CLT-009743,267933,0.1110,0.0055,0.1230,0.2308,11
ACT-011737,CLT-009744,1139019,0.1577,0.1610,0.0946,0.2429,11
ACT-011738,CLT-009745,505348,0.1472,0.0809,0.1357,0.2194,12
ACT-011739,CLT-009746,310544,0.0893,0.0653,0.1023,0.1728,12
ACT-011740,CLT-009747,224599,0.1446,0.0293,0.1108,0.1662,12
ACT-011741,CLT-009748,276460,0.1773,0.1418,0.2440,0.1156,12
ACT-011742,CLT-009749,474372,0.1083,0.1252,0.1355,0.1935,11
ACT-011743,CLT-009749,182399,0.3095,-0.0046,0.2366,0.1650,12
ACT-011744,CLT-009750,263021,0.0896,-0.0181,0.2070,0.2355,11
ACT-011745,CLT-009751,171984,0.1347,0.1290,0.3658,0.1400,11
ACT-011746,CLT-009752,120328,0.0416,-0.1061,0.1721,0.2468,11
ACT-011747,CLT-009753,140405,0.2076,0.0971,0.1251,0.2041,12
ACT-011748,CLT-009754,264321,0.1449,0.1569,0.1206,0.2657,12
ACT-011749,CLT-009755,1355146,0.1271,-0.0041,0.1675,0.2190,12
ACT-011750,CLT-009756,93873,0.3597,-0.0411,0.0926,0.2012,12
ACT-011751,CLT-009757,221144,0.1621,-0.0282,0.2126,0.1823,12
ACT-011752,CLT-009758,147081,0.0817,0.2741,0.2154,0.2611,12
ACT-011753,CLT-009759,142468,0.2955,0.0383,0.4905,0.2310,12
ACT-011754,CLT-009760,433233,0.2150,-0.0542,0.2798,0.1418,12
ACT-011755,CLT-009760,97319,0.1474,0.0324,0.0846,0.2172,11
ACT-011756,CLT-009761,543069,0.1224,-0.0896,0.1077,0.1384,11
ACT-011757,CLT-009762,299131,0.2370,0.0435,0.1175,0.1882,11
ACT-011758,CLT-009763,520373,0.0980,0.0437,0.1382,0.2087,12
ACT-011759,CLT-009764,76430,0.3687,0.2444,0.2355,0.2371,12
ACT-011760,CLT-009764,103098,0.1647,0.3290,0.1556,0.1741,12
ACT-011761,CLT-009765,222744,0.1154,0.1204,0.1498,0.1758,12
ACT-011762,CLT-009766,158087,0.1987,-0.0775,0.0827,0.2301,12
ACT-011763,CLT-009766,62676,0.1518,-0.0682,0.0577,0.1404,12
ACT-011764,CLT-009767,132812,0.2900,0.0412,0.2292,0.2087,12
ACT-011765,CLT-009768,301028,0.2358,0.1412,0.5971,0.1620,12
ACT-011766,CLT-009769,137207,0.1563,0.2056,0.2678,0.0657,12
ACT-011767,CLT-009770,146140,0.0558,-0.0020,0.1277,0.2481,11
ACT-011768,CLT-009771,105107,0.2091,-0.0616,0.2804,0.1110,12
ACT-011769,CLT-009772,232957,0.2613,0.1200,0.2050,0.1898,8
ACT-011770,CLT-009773,424428,0.1595,0.1441,0.3301,0.6339,12
ACT-011771,CLT-009774,696197,0.0479,-0.0542,0.1325,0.1220,12
ACT-011772,CLT-009775,93596,0.4013,0.1021,0.1860,0.1681,12
ACT-011773,CLT-009775,49012,0.4275,-0.0977,0.2284,0.2863,11
ACT-011774,CLT-009776,281122,0.2731,-0.0072,0.0807,0.1547,12
ACT-011775,CLT-009776,289722,0.1267,-0.1169,0.1408,0.2022,11
ACT-011776,CLT-009777,1133405,0.1043,-0.0623,0.1253,0.0755,11
ACT-011777,CLT-009778,326780,0.2393,0.0383,0.1781,0.2603,11
ACT-011778,CLT-009778,131583,0.1191,-0.0041,0.1755,0.2036,12
ACT-011779,CLT-009779,197653,0.1830,0.0886,0.1752,0.2915,12
ACT-011780,CLT-009780,34294,0.1456,0.1892,0.1881,0.2524,12
ACT-011781,CLT-009781,487930,0.0624,0.0111,0.1402,0.1904,12
ACT-011782,CLT-009782,140467,0.4637,0.0289,0.2821,0.1379,12
ACT-011783,CLT-009782,29460,0.3518,-0.0573,0.2000,0.1157,12
ACT-011784,CLT-009783,272715,0.2295,0.0597,0.1495,0.2069,12
ACT-011785,CLT-009784,177403,0.1878,0.0965,0.1480,0.2407,12
ACT-011786,CLT-009785,166145,0.2576,0.1133,0.1622,0.1762,11
ACT-011787,CLT-009786,95614,0.2066,-0.2078,0.5351,0.1972,11
ACT-011788,CLT-009787,233373,0.1751,0.1858,0.1437,0.2837,12
ACT-011789,CLT-009788,190815,0.1158,0.1153,0.1885,0.1136,12
ACT-011790,CLT-009789,621550,0.0637,-0.1065,0.1366,0.1489,12
ACT-011791,CLT-009790,1098521,0.1849,0.0299,0.2175,0.2296,12
ACT-011792,CLT-009791,42749,0.2099,0.0396,0.1738,0.1995,12
ACT-011793,CLT-009792,221593,0.0965,-0.0034,0.1745,0.2397,11
ACT-011794,CLT-009793,145730,0.3117,0.1499,0.1307,0.1779,12
ACT-011795,CLT-009793,56191,0.2056,-0.0574,0.0557,0.1687,12
ACT-011796,CLT-009794,208109,0.1799,0.1288,0.1302,0.1351,12
ACT-011797,CLT-009795,182427,0.0892,0.0796,0.2318,0.2455,12
ACT-011798,CLT-009796,92247,0.2734,-0.0012,0.1777,0.2323,12
ACT-011799,CLT-009797,241605,0.3142,-0.1358,0.0679,0.2171,8
ACT-011800,CLT-009798,290163,0.0599,-0.1819,0.1521,0.1375,12
ACT-011801,CLT-009799,102118,0.1430,0.2819,0.2489,0.1824,12
ACT-011802,CLT-009800,40558,0.2997,0.0108,0.1708,0.2799,11
ACT-011803,CLT-009800,59576,0.1202,0.2173,0.2187,0.2564,11
ACT-011804,CLT-009801,1527443,0.1297,0.0384,0.2184,0.1327,12
ACT-011805,CLT-009801,369572,0.1526,0.1147,0.2667,0.2244,12
ACT-011806,CLT-009802,119723,0.1768,0.0620,0.1871,0.1500,11
ACT-011807,CLT-009803,50480,0.3734,-0.2473,0.1441,0.1301,8
ACT-011808,CLT-009804,1120758,0.1215,0.0343,0.2811,0.1973,12
ACT-011809,CLT-009805,148811,0.0341,0.0476,0.1306,0.2442,12
ACT-011810,CLT-009806,224327,0.0851,0.1068,0.0907,0.1561,12
ACT-011811,CLT-009807,195354,0.2449,-0.0668,0.1362,0.1621,10
ACT-011812,CLT-009807,26577,0.1283,-0.1208,0.1293,0.2048,12
ACT-011813,CLT-009808,291033,0.1011,-0.0341,0.5672,0.1154,12
ACT-011814,CLT-009809,43922,0.1965,0.0466,0.1487,0.1283,11
ACT-011815,CLT-009810,484420,0.2694,0.1758,0.1612,0.1189,10
ACT-011816,CLT-009811,375751,0.1688,-0.0034,0.1962,0.2192,11
ACT-011817,CLT-009812,132113,0.2212,-0.0423,0.0803,0.2241,12
ACT-011818,CLT-009813,2226076,0.0517,-0.0144,0.1317,0.1850,10
ACT-011819,CLT-009814,452439,0.1796,0.1023,0.1212,0.1954,12
ACT-011820,CLT-009815,314357,0.0758,0.2970,0.1741,0.1654,11
ACT-011821,CLT-009816,66298,0.1388,-0.0086,0.2571,0.1799,12
ACT-011822,CLT-009817,440888,0.1154,-0.2174,0.2726,0.1392,12
ACT-011823,CLT-009818,388787,0.2338,0.1939,0.3187,0.1229,11
ACT-011824,CLT-009819,498378,0.1122,0.0913,0.2319,0.2674,11
ACT-011825,CLT-009819,45799,0.0683,-0.0393,0.2865,0.1416,11
ACT-011826,CLT-009820,122277,0.1369,0.0984,0.0678,0.2823,11
ACT-011827,CLT-009821,313953,0.1874,-0.0274,0.2076,0.1377,12
ACT-011828,CLT-009822,467666,0.0819,0.0304,0.4960,0.1841,11
ACT-011829,CLT-009823,126868,0.0761,0.0361,0.4780,0.2449,12
ACT-011830,CLT-009824,341073,0.0312,0.2272,0.1655,0.2425,12
ACT-011831,CLT-009824,61795,0.2541,0.1207,0.1106,0.1345,10
ACT-011832,CLT-009825,120198,0.1916,-0.0197,0.1549,0.4629,12
ACT-011833,CLT-009826,868688,0.1715,0.0108,0.3340,0.2048,11
ACT-011834,CLT-009827,495867,0.0962,-0.0062,0.1727,0.1344,11
ACT-011835,CLT-009828,58858,0.4047,-0.1369,0.1548,0.3161,12
ACT-011836,CLT-009829,223260,0.1781,0.0612,0.2449,0.1982,11
ACT-011837,CLT-009830,396951,0.1547,0.0146,0.1999,0.2571,12
ACT-011838,CLT-009831,337490,0.1591,-0.0859,0.1357,0.2079,12
ACT-011839,CLT-009831,92796,0.1952,0.0678,0.1395,0.2060,12
ACT-011840,CLT-009832,165908,0.0917,0.1923,0.0677,0.2006,11
ACT-011841,CLT-009833,315613,0.1357,0.0524,0.1949,0.1760,11
ACT-011842,CLT-009834,405704,0.2162,0.0671,0.2190,0.1898,12
ACT-011843,CLT-009835,507413,0.0406,-0.0099,0.2570,0.1617,12
ACT-011844,CLT-009836,708430,0.2942,-0.1592,0.2056,0.6037,10
ACT-011845,CLT-009837,193611,0.0680,-0.1638,0.1385,0.2033,12
ACT-011846,CLT-009838,31514,0.1210,-0.0015,0.0933,0.2465,12
ACT-011847,CLT-009839,154451,0.0200,-0.0005,0.0549,0.2201,12
ACT-011848,CLT-009840,441824,0.0200,-0.1126,0.1393,0.2158,12
ACT-011849,CLT-009841,248860,0.2025,0.0790,0.0930,0.2557,9
ACT-011850,CLT-009841,405375,0.0946,0.0999,0.0837,0.1264,12
ACT-011851,CLT-009842,67244,0.1083,0.1240,0.1612,0.2244,12
ACT-011852,CLT-009843,1130932,0.1431,0.1262,0.3224,0.1310,12
ACT-011853,CLT-009844,139616,0.0713,-0.0437,0.1998,0.1625,12
ACT-011854,CLT-009845,71929,0.2091,-0.0897,0.1210,0.1707,10
ACT-011855,CLT-009846,257458,0.4212,0.0918,0.1369,0.1424,10
ACT-011856,CLT-009847,39786,0.2705,0.0121,0.2014,0.2354,12
ACT-011857,CLT-009848,242582,0.1801,0.1821,0.1155,0.1180,12
ACT-011858,CLT-009849,697905,0.1116,0.0374,0.1027,0.1434,11
ACT-011859,CLT-009850,251112,0.0588,0.0845,0.1866,0.2053,12
ACT-011860,CLT-009851,155858,0.2553,0.0359,0.2885,0.1530,12
ACT-011861,CLT-009851,37693,0.2278,0.0082,0.0872,0.0662,10
ACT-011862,CLT-009852,1737179,0.2099,0.0559,0.1929,0.2226,11
ACT-011863,CLT-009853,390706,0.0900,-0.0101,0.1858,0.2359,12
ACT-011864,CLT-009853,72416,0.0416,-0.0103,0.3238,0.2202,12
ACT-011865,CLT-009854,46108,0.1807,0.1920,0.1683,0.2561,11
ACT-011866,CLT-009855,628695,0.0604,0.1303,0.0500,0.2993,12
ACT-011867,CLT-009856,535987,0.0918,-0.0342,0.3072,0.1648,11
ACT-011868,CLT-009857,169606,0.1724,-0.0770,0.0934,0.4871,12
ACT-011869,CLT-009857,101268,0.1965,-0.0622,0.1716,0.5574,12
ACT-011870,CLT-009858,429277,0.3770,0.0108,0.1696,0.0713,10
ACT-011871,CLT-009858,162452,0.1887,-0.0035,0.2219,0.2244,12
ACT-011872,CLT-009859,887875,0.1176,0.1904,0.1583,0.1609,12
ACT-011873,CLT-009860,77315,0.1983,-0.0286,0.2085,0.2605,12
ACT-011874,CLT-009861,306240,0.1381,-0.0666,0.2050,0.1908,12
ACT-011875,CLT-009862,621717,0.1281,-0.0753,0.4646,0.2318,12
ACT-011876,CLT-009863,116857,0.1987,0.3469,0.1854,0.1136,11
ACT-011877,CLT-009864,64239,0.1761,0.0393,0.1967,0.1873,12
ACT-011878,CLT-009865,206139,0.1158,0.1875,0.2786,0.2311,11
ACT-011879,CLT-009866,356305,0.1398,-0.1153,0.1257,0.2967,12
ACT-011880,CLT-009867,174628,0.1729,-0.0257,0.0601,0.1260,11
ACT-011881,CLT-009868,561437,0.2826,-0.0233,0.1474,0.2168,8
ACT-011882,CLT-009869,250961,0.0939,0.1114,0.5683,0.0682,12
ACT-011883,CLT-009870,221735,0.1090,0.0447,0.2886,0.2375,12
ACT-011884,CLT-009870,25088,0.1602,0.0458,0.1820,0.2588,12
ACT-011885,CLT-009871,991322,0.1955,0.0029,0.1013,0.2268,12
ACT-011886,CLT-009872,532206,0.2734,-0.0584,0.1311,0.2087,8
ACT-011887,CLT-009872,40170,0.1462,-0.0517,0.1148,0.1750,11
ACT-011888,CLT-009873,826012,0.0381,0.0739,0.2017,0.2319,12
ACT-011889,CLT-009874,113710,0.0865,-0.0080,0.1111,0.1136,12
ACT-011890,CLT-009875,264232,0.1190,-0.0678,0.2273,0.1462,12
ACT-011891,CLT-009876,105592,0.2609,-0.1017,0.1482,0.2258,8
ACT-011892,CLT-009876,88086,0.2936,-0.0571,0.1945,0.1656,11
ACT-011893,CLT-009877,326448,0.1745,0.0925,0.2157,0.2997,11
ACT-011894,CLT-009878,125692,0.1572,-0.0201,0.1489,0.2443,11
ACT-011895,CLT-009879,84929,0.2027,-0.0012,0.2638,0.5826,12
