identifiant_activite,identifiant_client,identifiant_institution,mois,recettes_reelles,charges_reelles,revenu_net_reel,indice_saison,effet_evenement,effet_macro
ACT-000020,CLT-000015,INS-001,2025-01,365719,433377,-67658,1.1423,1.0000,1.0000
ACT-000020,CLT-000015,INS-001,2025-02,327757,388392,-60635,1.0821,1.0000,1.0000
ACT-000020,CLT-000015,INS-001,2025-03,272106,322445,-50340,1.0000,1.0000,1.0000
ACT-000020,CLT-000015,INS-001,2025-04,254828,301971,-47143,0.9178,1.0000,1.0000
ACT-000020,CLT-000015,INS-001,2025-05,248567,294551,-45985,0.8577,1.0000,1.0000
ACT-000020,CLT-000015,INS-001,2025-06,229977,272523,-42546,0.8357,1.0000,1.0000
ACT-000020,CLT-000015,INS-001,2025-07,246574,292191,-45616,0.8577,1.0000,1.0000
ACT-000020,CLT-000015,INS-001,2025-08,284726,337401,-52674,0.9179,1.0000,1.0000
ACT-000020,CLT-000015,INS-001,2025-09,348898,413444,-64546,1.0000,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2021-01,123397,108972,14425,1.1987,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2021-02,78891,69669,9222,1.1147,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2021-03,85119,75168,9950,1.0000,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2021-04,97729,86305,11425,0.8853,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2021-05,59805,52814,6991,0.8013,0.9436,1.0000
ACT-000021,CLT-000016,INS-001,2021-06,49676,43869,5807,0.7706,0.9436,1.0000
ACT-000021,CLT-000016,INS-001,2021-07,59095,52187,6908,0.8013,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2021-08,56558,49947,6612,0.8853,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2021-09,101296,89454,11841,1.0000,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2021-10,92223,81442,10781,1.1147,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2021-11,98993,87421,11572,1.1987,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2021-12,97615,86204,11411,1.2294,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-01,121517,107312,14205,1.1987,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-02,101767,89870,11897,1.1147,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-03,98653,87121,11533,1.0000,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-04,76055,67164,8891,0.8853,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-05,85114,75164,9950,0.8013,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-06,64901,57314,7587,0.7706,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-07,53377,47137,6240,0.8013,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-08,58770,51900,6870,0.8853,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-09,65089,57480,7609,1.0000,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-10,83432,78099,5332,1.1147,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-11,72243,67626,4617,1.1987,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2022-12,62001,58038,3963,1.2294,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2023-01,77428,69744,7684,1.1987,1.0000,1.0000
ACT-000021,CLT-000016,INS-001,2023-02,72149,64989,7160,1.1147,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-01,1128508,952348,176160,1.0891,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-02,1023185,863466,159719,1.0000,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-03,970237,818783,151454,0.9109,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-04,848664,716187,132476,0.8458,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-05,692781,584637,108143,0.8219,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-06,740524,624928,115596,0.8458,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-07,876476,739658,136818,0.9110,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-08,965030,814389,150641,1.0000,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-09,983327,829830,153497,1.0891,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-10,1015682,857134,158548,1.1542,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-11,1157304,976649,180655,1.1781,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2021-12,1255149,1059221,195929,1.1542,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-01,1061046,895417,165629,1.0891,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-02,997193,841531,155662,1.0000,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-03,842956,711371,131585,0.9109,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-04,886345,747987,138358,0.8458,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-05,831195,701446,129750,0.8219,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-06,910103,768036,142067,0.8458,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-07,930213,785006,145206,0.9110,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-08,1104265,931889,172376,1.0000,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-09,1066521,900037,166484,1.0891,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-10,1067754,955143,112612,1.1542,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-11,1263614,1130346,133268,1.1781,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2022-12,1359199,1215849,143349,1.1542,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2023-01,1211236,1042606,168631,1.0891,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2023-02,1051465,905078,146387,1.0000,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2023-03,1137445,979088,158357,0.9109,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2023-04,802900,691119,111781,0.8458,0.7383,1.0000
ACT-000022,CLT-000017,INS-001,2023-05,652387,561560,90827,0.8219,0.7383,1.0000
ACT-000022,CLT-000017,INS-001,2023-06,623233,525946,97287,0.8458,0.7383,1.0000
ACT-000022,CLT-000017,INS-001,2023-07,625343,527727,97616,0.9110,0.7383,1.0000
ACT-000022,CLT-000017,INS-001,2023-08,650047,548575,101472,1.0000,0.7383,1.0000
ACT-000022,CLT-000017,INS-001,2023-09,680016,573865,106150,1.0891,0.7383,1.0000
ACT-000022,CLT-000017,INS-001,2023-10,759968,641337,118631,1.1542,0.7383,1.0000
ACT-000022,CLT-000017,INS-001,2023-11,831193,701444,129749,1.1781,0.7383,1.0000
ACT-000022,CLT-000017,INS-001,2023-12,1015360,856862,158498,1.1542,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2024-01,982971,846120,136851,1.0891,1.0000,1.0239
ACT-000022,CLT-000017,INS-001,2024-02,991686,853622,138065,1.0000,1.0000,1.0239
ACT-000022,CLT-000017,INS-001,2024-03,956387,823237,133150,0.9109,1.0000,1.0239
ACT-000022,CLT-000017,INS-001,2024-04,938490,807831,130658,0.8458,1.0000,1.0239
ACT-000022,CLT-000017,INS-001,2024-05,911139,784288,126851,0.8219,1.0000,1.0239
ACT-000022,CLT-000017,INS-001,2024-06,949107,816970,132137,0.8458,1.0000,1.0239
ACT-000022,CLT-000017,INS-001,2024-07,1091627,939649,151979,0.9110,1.0000,1.0239
ACT-000022,CLT-000017,INS-001,2024-08,1205328,1037519,167808,1.0000,1.0000,1.0239
ACT-000022,CLT-000017,INS-001,2024-09,1206986,1038947,168039,1.0891,1.0000,1.0239
ACT-000022,CLT-000017,INS-001,2024-10,1218320,1048703,169617,1.1542,1.0000,1.0239
ACT-000022,CLT-000017,INS-001,2024-11,698529,601278,97251,1.1781,0.5730,1.0239
ACT-000022,CLT-000017,INS-001,2024-12,687687,591946,95741,1.1542,0.5730,1.0239
ACT-000022,CLT-000017,INS-001,2025-01,730875,770982,-40107,1.0891,0.5730,1.0000
ACT-000022,CLT-000017,INS-001,2025-02,1111893,1172908,-61015,1.0000,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2025-03,462466,487844,-25378,0.9109,0.4693,1.0000
ACT-000022,CLT-000017,INS-001,2025-04,431902,455602,-23701,0.8458,0.4693,1.0000
ACT-000022,CLT-000017,INS-001,2025-05,955923,1008380,-52456,0.8219,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2025-06,951345,1003551,-52205,0.8458,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2025-07,973607,1027034,-53427,0.9110,1.0000,1.0000
ACT-000022,CLT-000017,INS-001,2025-08,1122517,1184115,-61598,1.0000,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2021-01,629233,532268,96965,1.1218,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2021-02,645546,546067,99479,1.0000,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2021-03,397982,336653,61329,0.8782,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2021-04,622643,526694,95949,0.7890,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2021-05,465519,393783,71736,0.7564,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2021-06,601386,508713,92674,0.7890,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2021-07,511512,432688,78824,0.8782,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2021-08,519101,439108,79993,1.0000,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2021-09,409119,346073,63045,1.1218,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2021-10,530583,448820,81763,1.2110,0.8537,1.0000
ACT-000023,CLT-000018,INS-001,2021-11,963179,814753,148426,1.2436,0.8537,1.0000
ACT-000023,CLT-000018,INS-001,2021-12,838569,709346,129224,1.2110,0.8537,1.0000
ACT-000023,CLT-000018,INS-001,2022-01,678500,573943,104557,1.1218,0.8537,1.0000
ACT-000023,CLT-000018,INS-001,2022-02,635823,537843,97980,1.0000,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2022-03,577033,488112,88921,0.8782,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2022-04,325260,275138,50123,0.7890,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2022-05,448608,379478,69131,0.7564,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2022-06,751477,635674,115803,0.7890,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2022-07,679121,574469,104653,0.8782,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2022-08,210540,178096,32444,1.0000,0.5883,1.0000
ACT-000023,CLT-000018,INS-001,2022-09,292875,247743,45132,1.1218,0.5883,1.0000
ACT-000023,CLT-000018,INS-001,2022-10,316026,283366,32660,1.2110,0.5883,1.0000
ACT-000023,CLT-000018,INS-001,2022-11,401889,360355,41534,1.2436,0.5883,1.0000
ACT-000023,CLT-000018,INS-001,2022-12,471602,422864,48738,1.2110,0.5883,1.0000
ACT-000023,CLT-000018,INS-001,2023-01,675373,582724,92649,1.1218,0.5883,1.0000
ACT-000023,CLT-000018,INS-001,2023-02,338378,291958,46419,1.0000,0.5883,1.0000
ACT-000023,CLT-000018,INS-001,2023-03,192902,166439,26463,0.8782,0.5883,1.0000
ACT-000023,CLT-000018,INS-001,2023-04,427593,368935,58658,0.7890,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2023-05,362012,312351,49662,0.7564,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2023-06,454508,384469,70040,0.7890,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2023-07,559349,473154,86196,0.8782,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2023-08,623378,527316,96063,1.0000,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2023-09,1272699,1076576,196123,1.1218,1.2508,1.0000
ACT-000023,CLT-000018,INS-001,2023-10,888500,751582,136918,1.2110,1.2508,1.0000
ACT-000023,CLT-000018,INS-001,2023-11,926633,783839,142794,1.2436,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2023-12,735937,622529,113408,1.2110,1.0000,1.0000
ACT-000023,CLT-000018,INS-001,2024-01,599550,517303,82248,1.1218,1.0000,1.0239
ACT-000023,CLT-000018,INS-001,2024-02,514071,443549,70521,1.0000,1.0000,1.0239
ACT-000023,CLT-000018,INS-001,2024-03,506099,436671,69428,0.8782,1.0000,1.0239
ACT-000023,CLT-000018,INS-001,2024-04,286572,247259,39312,0.7890,0.5106,1.0239
ACT-000023,CLT-000018,INS-001,2024-05,288123,248598,39525,0.7564,0.5106,1.0239
ACT-000023,CLT-000018,INS-001,2024-06,418154,360791,57363,0.7890,0.5106,1.0239
ACT-000023,CLT-000018,INS-001,2024-07,488072,421117,66955,0.8782,0.5106,1.0239
ACT-000023,CLT-000018,INS-001,2024-08,476473,411109,65364,1.0000,0.5106,1.0239
ACT-000023,CLT-000018,INS-001,2024-09,1221297,1053757,167540,1.1218,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2021-01,145980,76231,69749,1.1192,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2021-02,156114,81523,74591,1.0688,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2021-03,180497,94256,86242,1.0000,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2021-04,183361,95751,87610,0.9312,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2021-05,134621,70299,64322,0.8808,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2021-06,137465,71784,65681,0.8624,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2021-07,141988,74146,67842,0.8808,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2021-08,148129,77353,70776,0.9312,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2021-09,227828,118972,108856,1.0000,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2021-10,210107,109718,100389,1.0688,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2021-11,148050,77312,70738,1.1192,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2021-12,151391,79056,72335,1.1376,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-01,128546,67127,61419,1.1192,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-02,177095,92479,84616,1.0688,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-03,166401,86895,79506,1.0000,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-04,157054,82014,75040,0.9312,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-05,170080,88816,81264,0.8808,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-06,171528,89572,81956,0.8624,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-07,189393,98901,90492,0.8808,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-08,191131,99809,91322,0.9312,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-09,213629,111557,102072,1.0000,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-10,249290,137990,111300,1.0688,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-11,188436,104306,84131,1.1192,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2022-12,184500,102127,82373,1.1376,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-01,242465,129148,113318,1.1192,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-02,193859,103258,90601,1.0688,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-03,212782,113337,99445,1.0000,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-04,243580,129741,113839,0.9312,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-05,196516,104673,91843,0.8808,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-06,209657,109483,100174,0.8624,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-07,270267,141133,129134,0.8808,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-08,260521,136044,124477,0.9312,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-09,244348,127598,116749,1.0000,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-10,212898,111175,101723,1.0688,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-11,252268,131735,120534,1.1192,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2023-12,229496,119843,109653,1.1376,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2024-01,208871,111254,97617,1.1192,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2024-02,206973,110243,96730,1.0688,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2024-03,171020,91093,79927,1.0000,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2024-04,200865,106990,93876,0.9312,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2024-05,221599,118033,103566,0.8808,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2024-06,242877,129367,113510,0.8624,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2024-07,219657,116999,102658,0.8808,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2024-08,262362,139745,122616,0.9312,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2024-09,316139,168389,147749,1.0000,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2024-10,274612,146270,128342,1.0688,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2024-11,357893,190630,167263,1.1192,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2024-12,329730,175628,154101,1.1376,1.0000,1.0239
ACT-000024,CLT-000019,INS-001,2025-01,323058,210876,112182,1.1192,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2025-02,305154,199189,105965,1.0688,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2025-03,227509,148507,79003,1.0000,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2025-04,241191,157437,83754,0.9312,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2025-05,266284,173817,92467,0.8808,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2025-06,214095,139751,74345,0.8624,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2025-07,248935,162492,86443,0.8808,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2025-08,238675,155795,82880,0.9312,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2025-09,336576,219700,116876,1.0000,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2025-10,346832,226395,120437,1.0688,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2025-11,404439,263997,140441,1.1192,1.0000,1.0000
ACT-000024,CLT-000019,INS-001,2025-12,400461,261401,139060,1.1376,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-01,1303332,1205452,97880,1.1227,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-02,1354025,1252338,101687,1.0709,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-03,1457590,1348125,109465,1.0000,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-04,1419594,1312983,106612,0.9291,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-05,1114562,1030858,83704,0.8773,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-06,949011,877740,71271,0.8583,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-07,983963,910067,73896,0.8773,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-08,1439030,1330959,108071,0.9292,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-09,1497764,1385282,112482,1.0000,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-10,1401603,1296342,105260,1.0709,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-11,1490025,1378124,111901,1.1227,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2021-12,1310787,1212347,98440,1.1417,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-01,1351758,1250241,101517,1.1227,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-02,1221082,1129378,91703,1.0709,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-03,1133480,1048356,85124,1.0000,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-04,1073134,992542,80592,0.9291,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-05,909087,840814,68272,0.8773,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-06,1003799,928413,75385,0.8583,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-07,1165564,1078030,87534,0.8773,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-08,1198841,1108808,90033,0.9292,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-09,1348454,1247185,101269,1.0000,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-10,1244026,1219636,24390,1.0709,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-11,1265332,1240524,24808,1.1227,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2022-12,1322774,1296840,25934,1.1417,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-01,1340204,1264346,75858,1.1227,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-02,1246614,1176053,70561,1.0709,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-03,1180580,1113756,66823,1.0000,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-04,1082415,1021148,61267,0.9291,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-05,1081241,1020040,61200,0.8773,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-06,984856,910893,73963,0.8583,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-07,941344,870649,70695,0.8773,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-08,1122616,1038307,84308,0.9292,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-09,1032572,955026,77546,1.0000,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-10,946060,875011,71049,1.0709,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-11,1024968,947993,76975,1.1227,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2023-12,1051623,972646,78977,1.1417,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2024-01,1268678,1196868,71810,1.1227,1.0000,1.0239
ACT-000025,CLT-000020,INS-001,2024-02,984585,928855,55729,1.0709,1.0000,1.0239
ACT-000025,CLT-000020,INS-001,2024-03,1034306,975762,58544,1.0000,1.0000,1.0239
ACT-000025,CLT-000020,INS-001,2024-04,931621,878889,52732,0.9291,1.0000,1.0239
ACT-000025,CLT-000020,INS-001,2024-05,940371,887145,53227,0.8773,1.0000,1.0239
ACT-000025,CLT-000020,INS-001,2024-06,890764,840345,50419,0.8583,1.0000,1.0239
ACT-000025,CLT-000020,INS-001,2024-07,1176524,1109931,66594,0.8773,1.1690,1.0239
ACT-000025,CLT-000020,INS-001,2024-08,1269443,1197590,71853,0.9292,1.1690,1.0239
ACT-000025,CLT-000020,INS-001,2024-09,1133991,1069805,64186,1.0000,1.3845,1.0239
ACT-000025,CLT-000020,INS-001,2024-10,1349509,1273124,76385,1.0709,1.3845,1.0239
ACT-000025,CLT-000020,INS-001,2024-11,1488451,1404202,84249,1.1227,1.3845,1.0239
ACT-000025,CLT-000020,INS-001,2024-12,1198109,1130294,67815,1.1417,1.3845,1.0239
ACT-000025,CLT-000020,INS-001,2025-01,1485900,1717886,-231986,1.1227,1.3845,1.0000
ACT-000025,CLT-000020,INS-001,2025-02,1408167,1628017,-219850,1.0709,1.3845,1.0000
ACT-000025,CLT-000020,INS-001,2025-03,1220727,1411313,-190586,1.0000,1.3845,1.0000
ACT-000025,CLT-000020,INS-001,2025-04,1002752,1159306,-156555,0.9291,1.1843,1.0000
ACT-000025,CLT-000020,INS-001,2025-05,1113653,1287522,-173869,0.8773,1.1843,1.0000
ACT-000025,CLT-000020,INS-001,2025-06,990202,1144797,-154595,0.8583,1.1843,1.0000
ACT-000025,CLT-000020,INS-001,2025-07,865791,1000962,-135172,0.8773,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2025-08,918750,1062190,-143440,0.9292,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2025-09,1109693,1282943,-173251,1.0000,0.8755,1.0000
ACT-000025,CLT-000020,INS-001,2025-10,1165979,1348017,-182038,1.0709,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2025-11,1086651,1256304,-169653,1.1227,1.0000,1.0000
ACT-000025,CLT-000020,INS-001,2025-12,1177980,1361892,-183912,1.1417,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2021-01,114246,84382,29864,1.2501,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2021-02,127972,94520,33452,1.1444,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2021-03,100163,73981,26183,1.0000,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2021-04,97369,71917,25452,0.8556,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2021-05,43237,31935,11302,0.7499,0.5021,1.0000
ACT-000026,CLT-000021,INS-001,2021-06,32797,24224,8573,0.7112,0.3843,1.0000
ACT-000026,CLT-000021,INS-001,2021-07,40570,29965,10605,0.7499,0.3843,1.0000
ACT-000026,CLT-000021,INS-001,2021-08,34523,25498,9024,0.8556,0.3843,1.0000
ACT-000026,CLT-000021,INS-001,2021-09,35257,26040,9216,1.0000,0.3398,1.0000
ACT-000026,CLT-000021,INS-001,2021-10,68507,50600,17908,1.1444,0.6766,1.0000
ACT-000026,CLT-000021,INS-001,2021-11,59365,43847,15518,1.2501,0.6766,1.0000
ACT-000026,CLT-000021,INS-001,2021-12,104644,77290,27354,1.2888,0.6766,1.0000
ACT-000026,CLT-000021,INS-001,2022-01,81846,60452,21395,1.2501,0.6766,1.0000
ACT-000026,CLT-000021,INS-001,2022-02,120682,89136,31546,1.1444,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2022-03,121150,89481,31669,1.0000,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2022-04,76731,56673,20057,0.8556,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2022-05,79107,58429,20679,0.7499,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2022-06,92895,68612,24283,0.7112,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2022-07,86759,64080,22679,0.7499,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2022-08,93376,68968,24409,0.8556,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2022-09,115064,84986,30078,1.0000,1.0000,1.0000
ACT-000026,CLT-000021,INS-001,2022-10,77880,60974,16907,1.1444,0.6213,1.0000
ACT-000026,CLT-000021,INS-001,2022-11,94147,73709,20438,1.2501,0.6213,1.0000
ACT-000026,CLT-000021,INS-001,2022-12,105330,82465,22865,1.2888,0.6213,1.0000
ACT-000026,CLT-000021,INS-001,2023-01,109222,82284,26937,1.2501,0.6213,1.0000
ACT-000026,CLT-000021,INS-001,2023-02,185888,140043,45845,1.1444,1.2167,1.0000
ACT-000026,CLT-000021,INS-001,2023-03,172763,130155,42608,1.0000,1.2167,1.0000
ACT-000026,CLT-000021,INS-001,2023-04,140777,106058,34720,0.8556,1.2167,1.0000
ACT-000026,CLT-000021,INS-001,2023-05,158657,119528,39129,0.7499,1.2167,1.0000
ACT-000027,CLT-000022,INS-001,2021-01,286253,167028,119224,0.8787,1.0000,1.0000
