identifiant_decision,identifiant_demande,identifiant_institution,date_decision,statut,motif_principal,montant_accorde,duree_accordee_mois
DEC-004143,DEM-004143,INS-001,2025-01-01,ACCEPTEE,,200000,9
DEC-004144,DEM-004144,INS-001,2025-09-28,ACCEPTEE,,525000,6
DEC-004145,DEM-004145,INS-001,2021-07-21,ACCEPTEE,,475000,6
DEC-004146,DEM-004146,INS-001,2022-07-05,ACCEPTEE,,250000,9
DEC-004147,DEM-004147,INS-001,2024-06-13,ACCEPTEE,,600000,12
DEC-004148,DEM-004148,INS-001,2022-09-11,ACCEPTEE,,315000,12
DEC-004149,DEM-004149,INS-001,2022-03-24,REFUSEE,endettement_eleve,,
DEC-004150,DEM-004150,INS-001,2021-12-30,ACCEPTEE,,630000,12
DEC-004151,DEM-004151,INS-001,2023-09-03,ACCEPTEE,,900000,12
DEC-004152,DEM-004152,INS-001,2025-01-26,ACCEPTEE,,195000,6
DEC-004153,DEM-004153,INS-001,2025-07-06,ACCEPTEE,,900000,12
DEC-004154,DEM-004154,INS-001,2025-06-23,REFUSEE,capacite_insuffisante,,
DEC-004155,DEM-004155,INS-001,2025-09-29,REFUSEE,endettement_eleve,,
DEC-004156,DEM-004156,INS-001,2022-09-21,ACCEPTEE,,1450000,12
DEC-004157,DEM-004157,INS-001,2023-09-23,REFUSEE,capacite_insuffisante,,
DEC-004158,DEM-004158,INS-001,2025-05-26,ACCEPTEE,,900000,12
DEC-004159,DEM-004159,INS-001,2025-09-06,REFUSEE,endettement_eleve,,
DEC-004160,DEM-004160,INS-001,2023-12-03,ACCEPTEE,,250000,9
DEC-004161,DEM-004161,INS-001,2025-02-18,ACCEPTEE,,470000,12
DEC-004162,DEM-004162,INS-001,2022-01-22,REFUSEE,capacite_insuffisante,,
DEC-004163,DEM-004163,INS-001,2024-11-04,ACCEPTEE,,600000,6
DEC-004164,DEM-004164,INS-001,2021-07-15,REFUSEE,endettement_eleve,,
DEC-004165,DEM-004165,INS-001,2023-05-07,ACCEPTEE,,380000,6
DEC-004166,DEM-004166,INS-001,2022-08-22,ANNULEE_CLIENT,,,
DEC-004167,DEM-004167,INS-001,2024-11-14,ACCEPTEE,,100000,9
DEC-004168,DEM-004168,INS-001,2025-08-17,AJOURNEE,dossier_incomplet,,
DEC-004169,DEM-004169,INS-001,2023-05-22,ACCEPTEE,,530000,9
DEC-004170,DEM-004170,INS-001,2024-04-30,REFUSEE,capacite_insuffisante,,
DEC-004171,DEM-004171,INS-001,2025-04-24,ACCEPTEE,,100000,6
DEC-004172,DEM-004172,INS-001,2023-07-29,ACCEPTEE,,330000,6
DEC-004173,DEM-004173,INS-001,2025-03-17,REFUSEE,capacite_insuffisante,,
DEC-004174,DEM-004174,INS-001,2025-11-13,ACCEPTEE,,180000,9
DEC-004175,DEM-004175,INS-001,2022-05-05,ACCEPTEE,,100000,9
DEC-004176,DEM-004176,INS-001,2023-07-09,ACCEPTEE,,155000,6
DEC-004177,DEM-004177,INS-001,2024-06-28,AJOURNEE,dossier_incomplet,,
DEC-004178,DEM-004178,INS-001,2021-10-09,ANNULEE_CLIENT,,,
DEC-004179,DEM-004179,INS-001,2022-07-24,REFUSEE,endettement_eleve,,
DEC-004180,DEM-004180,INS-001,2023-03-18,REFUSEE,endettement_eleve,,
DEC-004181,DEM-004181,INS-001,2024-03-23,REFUSEE,endettement_eleve,,
DEC-004182,DEM-004182,INS-001,2025-11-26,ANNULEE_CLIENT,,,
DEC-004183,DEM-004183,INS-001,2023-01-23,ACCEPTEE,,600000,9
DEC-004184,DEM-004184,INS-001,2023-03-12,ACCEPTEE,,535000,9
DEC-004185,DEM-004185,INS-001,2025-01-11,ACCEPTEE,,160000,6
DEC-004186,DEM-004186,INS-001,2025-10-16,ACCEPTEE,,150000,9
DEC-004187,DEM-004187,INS-001,2023-02-23,ACCEPTEE,,870000,18
DEC-004188,DEM-004188,INS-001,2025-08-11,ACCEPTEE,,60000,3
DEC-004189,DEM-004189,INS-001,2022-08-01,REFUSEE,capacite_insuffisante,,
DEC-004190,DEM-004190,INS-001,2025-07-09,ACCEPTEE,,205000,9
DEC-004191,DEM-004191,INS-001,2022-09-30,ACCEPTEE,,1055000,15
DEC-004192,DEM-004192,INS-001,2022-12-31,ACCEPTEE,,180000,6
DEC-004193,DEM-004193,INS-001,2023-11-24,ACCEPTEE,,190000,9
DEC-004194,DEM-004194,INS-001,2022-11-09,REFUSEE,capacite_insuffisante,,
DEC-004195,DEM-004195,INS-001,2024-07-21,ACCEPTEE,,590000,12
DEC-004196,DEM-004196,INS-001,2022-06-18,ACCEPTEE,,580000,9
DEC-004197,DEM-004197,INS-001,2024-06-29,ACCEPTEE,,250000,6
DEC-004198,DEM-004198,INS-001,2024-12-16,ACCEPTEE,,250000,6
DEC-004199,DEM-004199,INS-001,2023-05-27,ACCEPTEE,,870000,6
DEC-004200,DEM-004200,INS-001,2025-03-27,ACCEPTEE,,900000,12
DEC-004201,DEM-004201,INS-001,2022-06-21,ACCEPTEE,,600000,9
DEC-004202,DEM-004202,INS-001,2023-07-17,ACCEPTEE,,600000,12
DEC-004203,DEM-004203,INS-001,2025-10-15,ACCEPTEE,,705000,12
DEC-004204,DEM-004204,INS-001,2024-02-26,ACCEPTEE,,900000,12
DEC-004205,DEM-004205,INS-001,2021-09-25,REFUSEE,endettement_eleve,,
DEC-004206,DEM-004206,INS-001,2022-02-04,REFUSEE,capacite_insuffisante,,
DEC-004207,DEM-004207,INS-001,2024-08-25,ACCEPTEE,,240000,6
DEC-004208,DEM-004208,INS-001,2025-03-04,REFUSEE,endettement_eleve,,
DEC-004209,DEM-004209,INS-001,2025-11-29,REFUSEE,endettement_eleve,,
DEC-004210,DEM-004210,INS-001,2022-07-11,REFUSEE,capacite_insuffisante,,
DEC-004211,DEM-004211,INS-001,2025-01-28,ACCEPTEE,,600000,12
DEC-004212,DEM-004212,INS-001,2021-08-25,ACCEPTEE,,180000,9
DEC-004213,DEM-004213,INS-001,2022-07-30,ACCEPTEE,,250000,6
DEC-004214,DEM-004214,INS-001,2023-09-05,ACCEPTEE,,150000,9
DEC-004215,DEM-004215,INS-001,2024-12-25,ACCEPTEE,,185000,9
DEC-004216,DEM-004216,INS-001,2023-03-13,ACCEPTEE,,250000,6
DEC-004217,DEM-004217,INS-001,2025-03-21,ACCEPTEE,,50000,9
DEC-004218,DEM-004218,INS-001,2021-08-26,ACCEPTEE,,250000,6
DEC-004219,DEM-004219,INS-001,2022-06-19,REFUSEE,capacite_insuffisante,,
DEC-004220,DEM-004220,INS-001,2023-01-30,ACCEPTEE,,395000,12
DEC-004221,DEM-004221,INS-001,2024-11-27,ACCEPTEE,,160000,9
DEC-004222,DEM-004222,INS-001,2021-11-05,ACCEPTEE,,250000,9
DEC-004223,DEM-004223,INS-001,2023-01-07,ACCEPTEE,,1500000,24
DEC-004224,DEM-004224,INS-001,2023-09-17,ACCEPTEE,,335000,12
DEC-004225,DEM-004225,INS-001,2025-10-31,ACCEPTEE,,350000,6
DEC-004226,DEM-004226,INS-001,2022-11-12,ACCEPTEE,,1500000,15
DEC-004227,DEM-004227,INS-001,2024-10-20,ACCEPTEE,,250000,9
DEC-004228,DEM-004228,INS-001,2021-09-06,ACCEPTEE,,160000,6
DEC-004229,DEM-004229,INS-001,2022-11-30,ACCEPTEE,,280000,6
DEC-004230,DEM-004230,INS-001,2025-01-01,ACCEPTEE,,250000,6
DEC-004231,DEM-004231,INS-001,2025-07-02,REFUSEE,capacite_insuffisante,,
DEC-004232,DEM-004232,INS-001,2021-09-28,ACCEPTEE,,145000,6
DEC-004233,DEM-004233,INS-001,2023-03-26,REFUSEE,capacite_insuffisante,,
DEC-004234,DEM-004234,INS-001,2023-08-11,ACCEPTEE,,90000,6
DEC-004235,DEM-004235,INS-001,2024-09-01,ACCEPTEE,,65000,6
DEC-004236,DEM-004236,INS-001,2022-12-24,ACCEPTEE,,515000,9
DEC-004237,DEM-004237,INS-001,2025-10-21,ACCEPTEE,,790000,6
DEC-004238,DEM-004238,INS-001,2023-03-12,REFUSEE,capacite_insuffisante,,
DEC-004239,DEM-004239,INS-001,2023-12-07,ACCEPTEE,,700000,12
DEC-004240,DEM-004240,INS-001,2025-11-02,ACCEPTEE,,1500000,12
DEC-004241,DEM-004241,INS-001,2022-12-21,ACCEPTEE,,510000,9
DEC-004242,DEM-004242,INS-001,2024-06-30,ACCEPTEE,,400000,12
DEC-004243,DEM-004243,INS-001,2025-10-24,REFUSEE,capacite_insuffisante,,
DEC-004244,DEM-004244,INS-001,2025-05-18,REFUSEE,capacite_insuffisante,,
DEC-004245,DEM-004245,INS-001,2023-09-24,ACCEPTEE,,420000,12
DEC-004246,DEM-004246,INS-001,2021-08-22,REFUSEE,capacite_insuffisante,,
DEC-004247,DEM-004247,INS-001,2023-07-25,ACCEPTEE,,210000,9
DEC-004248,DEM-004248,INS-001,2022-04-01,ACCEPTEE,,490000,3
DEC-004249,DEM-004249,INS-001,2022-11-24,AJOURNEE,dossier_incomplet,,
DEC-004250,DEM-004250,INS-001,2023-04-17,ACCEPTEE,,140000,9
DEC-004251,DEM-004251,INS-001,2024-06-08,ACCEPTEE,,95000,6
DEC-004252,DEM-004252,INS-001,2022-11-12,ACCEPTEE,,375000,12
DEC-004253,DEM-004253,INS-001,2025-01-18,REFUSEE,historique_incidents,,
DEC-004254,DEM-004254,INS-001,2021-12-19,ACCEPTEE,,600000,9
DEC-004255,DEM-004255,INS-001,2023-01-02,ACCEPTEE,,850000,12
DEC-004256,DEM-004256,INS-001,2025-03-29,REFUSEE,capacite_insuffisante,,
DEC-004257,DEM-004257,INS-001,2023-09-25,ACCEPTEE,,250000,3
DEC-004258,DEM-004258,INS-001,2024-04-09,ACCEPTEE,,980000,24
DEC-004259,DEM-004259,INS-001,2021-08-30,ACCEPTEE,,600000,9
DEC-004260,DEM-004260,INS-001,2023-01-07,ACCEPTEE,,1005000,12
DEC-004261,DEM-004261,INS-001,2023-01-04,ACCEPTEE,,440000,9
DEC-004262,DEM-004262,INS-001,2021-08-30,ACCEPTEE,,180000,12
DEC-004263,DEM-004263,INS-001,2025-06-28,ACCEPTEE,,140000,9
DEC-004264,DEM-004264,INS-001,2023-02-19,ACCEPTEE,,575000,12
DEC-004265,DEM-004265,INS-001,2022-07-20,ACCEPTEE,,225000,6
DEC-004266,DEM-004266,INS-001,2023-01-22,ACCEPTEE,,600000,12
DEC-004267,DEM-004267,INS-001,2024-05-01,ACCEPTEE,,250000,9
DEC-004268,DEM-004268,INS-001,2025-11-20,ACCEPTEE,,250000,9
DEC-004269,DEM-004269,INS-001,2022-12-18,ACCEPTEE,,900000,12
DEC-004270,DEM-004270,INS-001,2024-02-22,REFUSEE,garantie_insuffisante,,
DEC-004271,DEM-004271,INS-001,2024-06-12,ACCEPTEE,,490000,12
DEC-004272,DEM-004272,INS-001,2023-01-08,ACCEPTEE,,250000,6
DEC-004273,DEM-004273,INS-001,2023-09-19,ACCEPTEE,,385000,12
DEC-004274,DEM-004274,INS-001,2025-01-26,ACCEPTEE,,600000,9
DEC-004275,DEM-004275,INS-001,2021-12-23,ACCEPTEE,,600000,12
DEC-004276,DEM-004276,INS-001,2023-02-10,ACCEPTEE,,455000,9
DEC-004277,DEM-004277,INS-001,2024-01-31,ACCEPTEE,,385000,12
DEC-004278,DEM-004278,INS-001,2021-12-17,ACCEPTEE,,165000,9
DEC-004279,DEM-004279,INS-001,2025-05-11,REFUSEE,capacite_insuffisante,,
DEC-004280,DEM-004280,INS-001,2021-11-09,ACCEPTEE,,600000,9
DEC-004281,DEM-004281,INS-001,2024-01-08,REFUSEE,historique_incidents,,
DEC-004282,DEM-004282,INS-001,2025-01-08,REFUSEE,historique_incidents,,
DEC-004283,DEM-004283,INS-001,2022-02-27,ACCEPTEE,,600000,12
DEC-004284,DEM-004284,INS-001,2023-03-19,ACCEPTEE,,295000,6
DEC-004285,DEM-004285,INS-001,2023-09-07,ACCEPTEE,,1500000,24
DEC-004286,DEM-004286,INS-001,2023-05-04,ACCEPTEE,,930000,12
DEC-004287,DEM-004287,INS-001,2023-05-17,ACCEPTEE,,170000,6
DEC-004288,DEM-004288,INS-001,2024-11-30,ACCEPTEE,,1500000,12
DEC-004289,DEM-004289,INS-001,2024-11-13,ACCEPTEE,,250000,3
DEC-004290,DEM-004290,INS-001,2025-03-07,ACCEPTEE,,250000,6
DEC-004291,DEM-004291,INS-001,2022-01-21,REFUSEE,garantie_insuffisante,,
DEC-004292,DEM-004292,INS-001,2023-10-24,ACCEPTEE,,180000,6
DEC-004293,DEM-004293,INS-001,2025-11-01,ACCEPTEE,,250000,9
DEC-004294,DEM-004294,INS-001,2022-05-20,ACCEPTEE,,600000,9
DEC-004295,DEM-004295,INS-001,2023-07-27,ACCEPTEE,,280000,6
DEC-004296,DEM-004296,INS-001,2025-01-20,ACCEPTEE,,500000,12
DEC-004297,DEM-004297,INS-001,2021-09-25,AJOURNEE,dossier_incomplet,,
DEC-004298,DEM-004298,INS-001,2022-01-21,REFUSEE,capacite_insuffisante,,
DEC-004299,DEM-004299,INS-001,2023-05-08,ACCEPTEE,,240000,12
DEC-004300,DEM-004300,INS-001,2024-09-01,ACCEPTEE,,140000,12
DEC-004301,DEM-004301,INS-001,2025-11-19,REFUSEE,capacite_insuffisante,,
DEC-004302,DEM-004302,INS-001,2024-07-30,ACCEPTEE,,50000,6
DEC-004303,DEM-004303,INS-001,2022-05-25,REFUSEE,endettement_eleve,,
DEC-004304,DEM-004304,INS-001,2023-12-25,ACCEPTEE,,55000,3
DEC-004305,DEM-004305,INS-001,2022-06-22,ACCEPTEE,,245000,6
DEC-004306,DEM-004306,INS-001,2023-03-26,ACCEPTEE,,450000,12
DEC-004307,DEM-004307,INS-001,2023-01-08,ACCEPTEE,,250000,6
DEC-004308,DEM-004308,INS-001,2024-12-21,ACCEPTEE,,580000,18
DEC-004309,DEM-004309,INS-001,2023-01-20,ACCEPTEE,,160000,9
DEC-004310,DEM-004310,INS-001,2024-10-26,ACCEPTEE,,65000,6
DEC-004311,DEM-004311,INS-001,2022-06-24,REFUSEE,endettement_eleve,,
DEC-004312,DEM-004312,INS-001,2022-10-31,ACCEPTEE,,145000,9
DEC-004313,DEM-004313,INS-001,2023-09-27,ACCEPTEE,,115000,9
DEC-004314,DEM-004314,INS-001,2025-04-28,ACCEPTEE,,50000,6
DEC-004315,DEM-004315,INS-001,2021-10-15,ACCEPTEE,,65000,6
DEC-004316,DEM-004316,INS-001,2021-09-03,ACCEPTEE,,170000,6
DEC-004317,DEM-004317,INS-001,2023-08-27,ACCEPTEE,,250000,9
DEC-004318,DEM-004318,INS-001,2024-06-14,ACCEPTEE,,180000,6
DEC-004319,DEM-004319,INS-001,2025-03-07,ACCEPTEE,,165000,9
DEC-004320,DEM-004320,INS-001,2021-10-10,ACCEPTEE,,305000,3
DEC-004321,DEM-004321,INS-001,2024-12-14,REFUSEE,endettement_eleve,,
DEC-004322,DEM-004322,INS-001,2023-05-04,ACCEPTEE,,600000,12
DEC-004323,DEM-004323,INS-001,2022-03-22,ACCEPTEE,,560000,12
DEC-004324,DEM-004324,INS-001,2023-03-25,ACCEPTEE,,480000,12
DEC-004325,DEM-004325,INS-001,2024-04-26,ACCEPTEE,,130000,3
DEC-004326,DEM-004326,INS-001,2024-07-06,REFUSEE,capacite_insuffisante,,
DEC-004327,DEM-004327,INS-001,2024-10-20,ACCEPTEE,,600000,12
DEC-004328,DEM-004328,INS-001,2023-11-21,ACCEPTEE,,600000,9
DEC-004329,DEM-004329,INS-001,2025-07-26,ACCEPTEE,,600000,12
DEC-004330,DEM-004330,INS-001,2023-06-05,ACCEPTEE,,250000,9
DEC-004331,DEM-004331,INS-001,2025-01-01,REFUSEE,endettement_eleve,,
DEC-004332,DEM-004332,INS-001,2025-08-22,REFUSEE,endettement_eleve,,
DEC-004333,DEM-004333,INS-001,2023-07-24,ACCEPTEE,,695000,12
DEC-004334,DEM-004334,INS-001,2025-08-13,ACCEPTEE,,600000,12
DEC-004335,DEM-004335,INS-001,2025-02-25,ACCEPTEE,,95000,9
DEC-004336,DEM-004336,INS-001,2022-07-02,REFUSEE,capacite_insuffisante,,
DEC-004337,DEM-004337,INS-001,2024-01-21,ACCEPTEE,,250000,9
DEC-004338,DEM-004338,INS-001,2025-02-25,REFUSEE,capacite_insuffisante,,
DEC-004339,DEM-004339,INS-001,2022-02-12,ANNULEE_CLIENT,,,
DEC-004340,DEM-004340,INS-001,2023-11-18,ACCEPTEE,,600000,12
DEC-004341,DEM-004341,INS-001,2025-09-29,ACCEPTEE,,600000,6
DEC-004342,DEM-004342,INS-001,2022-10-12,ACCEPTEE,,600000,12
DEC-004343,DEM-004343,INS-001,2025-03-18,ACCEPTEE,,600000,9
DEC-004344,DEM-004344,INS-001,2022-08-19,ACCEPTEE,,250000,9
DEC-004345,DEM-004345,INS-001,2023-07-12,ACCEPTEE,,600000,12
DEC-004346,DEM-004346,INS-001,2024-11-18,ACCEPTEE,,300000,6
DEC-004347,DEM-004347,INS-001,2021-12-31,ACCEPTEE,,600000,12
DEC-004348,DEM-004348,INS-001,2024-07-22,ACCEPTEE,,600000,6
DEC-004349,DEM-004349,INS-001,2022-09-01,ACCEPTEE,,240000,6
DEC-004350,DEM-004350,INS-001,2023-12-03,ACCEPTEE,,390000,12
DEC-004351,DEM-004351,INS-001,2025-03-20,ACCEPTEE,,390000,9
DEC-004352,DEM-004352,INS-001,2022-01-31,ACCEPTEE,,250000,9
DEC-004353,DEM-004353,INS-001,2024-08-06,ACCEPTEE,,505000,6
DEC-004354,DEM-004354,INS-001,2021-10-30,ACCEPTEE,,115000,9
DEC-004355,DEM-004355,INS-001,2025-09-04,REFUSEE,capacite_insuffisante,,
DEC-004356,DEM-004356,INS-001,2022-07-31,ACCEPTEE,,150000,12
DEC-004357,DEM-004357,INS-001,2024-05-28,ACCEPTEE,,750000,24
DEC-004358,DEM-004358,INS-001,2022-06-09,ACCEPTEE,,100000,6
DEC-004359,DEM-004359,INS-001,2023-09-06,REFUSEE,capacite_insuffisante,,
DEC-004360,DEM-004360,INS-001,2024-10-22,ACCEPTEE,,1500000,24
DEC-004361,DEM-004361,INS-001,2025-09-26,ACCEPTEE,,550000,12
DEC-004362,DEM-004362,INS-001,2023-05-05,ACCEPTEE,,490000,9
DEC-004363,DEM-004363,INS-001,2024-02-10,ACCEPTEE,,435000,21
DEC-004364,DEM-004364,INS-001,2024-12-21,ACCEPTEE,,600000,6
DEC-004365,DEM-004365,INS-001,2025-07-06,ACCEPTEE,,250000,6
DEC-004366,DEM-004366,INS-001,2022-08-07,ACCEPTEE,,220000,6
DEC-004367,DEM-004367,INS-001,2023-07-09,REFUSEE,capacite_insuffisante,,
DEC-004368,DEM-004368,INS-001,2024-01-28,ACCEPTEE,,170000,12
DEC-004369,DEM-004369,INS-001,2025-03-13,ACCEPTEE,,190000,12
DEC-004370,DEM-004370,INS-001,2021-10-21,ACCEPTEE,,900000,12
DEC-004371,DEM-004371,INS-001,2025-06-15,ACCEPTEE,,1495000,24
DEC-004372,DEM-004372,INS-001,2022-06-08,ACCEPTEE,,250000,6
DEC-004373,DEM-004373,INS-001,2023-10-23,ACCEPTEE,,250000,9
DEC-004374,DEM-004374,INS-001,2022-10-16,REFUSEE,endettement_eleve,,
DEC-004375,DEM-004375,INS-001,2023-03-31,REFUSEE,endettement_eleve,,
DEC-004376,DEM-004376,INS-001,2024-10-25,REFUSEE,endettement_eleve,,
DEC-004377,DEM-004377,INS-001,2025-05-02,ACCEPTEE,,50000,9
DEC-004378,DEM-004378,INS-001,2023-05-08,ACCEPTEE,,140000,9
DEC-004379,DEM-004379,INS-001,2022-04-22,ACCEPTEE,,290000,12
DEC-004380,DEM-004380,INS-001,2024-05-06,REFUSEE,historique_incidents,,
DEC-004381,DEM-004381,INS-001,2024-10-26,REFUSEE,historique_incidents,,
DEC-004382,DEM-004382,INS-001,2025-07-30,REFUSEE,historique_incidents,,
DEC-004383,DEM-004383,INS-001,2021-08-25,REFUSEE,capacite_insuffisante,,
DEC-004384,DEM-004384,INS-001,2023-11-15,ACCEPTEE,,515000,6
DEC-004385,DEM-004385,INS-001,2025-09-26,ACCEPTEE,,250000,6
DEC-004386,DEM-004386,INS-001,2021-08-08,ACCEPTEE,,250000,9
DEC-004387,DEM-004387,INS-001,2023-01-24,REFUSEE,historique_incidents,,
DEC-004388,DEM-004388,INS-001,2022-05-02,REFUSEE,endettement_eleve,,
DEC-004389,DEM-004389,INS-001,2023-06-10,REFUSEE,endettement_eleve,,
DEC-004390,DEM-004390,INS-001,2025-03-07,REFUSEE,endettement_eleve,,
DEC-004391,DEM-004391,INS-001,2021-12-22,ACCEPTEE,,190000,6
DEC-004392,DEM-004392,INS-001,2022-08-22,ACCEPTEE,,635000,15
DEC-004393,DEM-004393,INS-001,2024-08-08,ACCEPTEE,,115000,6
DEC-004394,DEM-004394,INS-001,2025-02-24,ACCEPTEE,,490000,9
DEC-004395,DEM-004395,INS-001,2025-11-28,REFUSEE,capacite_insuffisante,,
DEC-004396,DEM-004396,INS-001,2021-09-13,ACCEPTEE,,60000,9
DEC-004397,DEM-004397,INS-001,2022-09-22,ACCEPTEE,,870000,24
DEC-004398,DEM-004398,INS-001,2024-09-26,REFUSEE,capacite_insuffisante,,
DEC-004399,DEM-004399,INS-001,2025-09-12,ACCEPTEE,,95000,3
DEC-004400,DEM-004400,INS-001,2022-08-17,ACCEPTEE,,565000,12
DEC-004401,DEM-004401,INS-001,2025-02-16,REFUSEE,historique_incidents,,
DEC-004402,DEM-004402,INS-001,2022-01-28,REFUSEE,endettement_eleve,,
DEC-004403,DEM-004403,INS-001,2023-03-03,REFUSEE,endettement_eleve,,
DEC-004404,DEM-004404,INS-001,2025-04-07,REFUSEE,endettement_eleve,,
DEC-004405,DEM-004405,INS-001,2022-06-01,REFUSEE,capacite_insuffisante,,
DEC-004406,DEM-004406,INS-001,2024-11-20,ACCEPTEE,,580000,12
DEC-004407,DEM-004407,INS-001,2021-10-29,ACCEPTEE,,600000,12
DEC-004408,DEM-004408,INS-001,2022-12-19,ACCEPTEE,,250000,9
DEC-004409,DEM-004409,INS-001,2024-10-06,ACCEPTEE,,145000,6
DEC-004410,DEM-004410,INS-001,2021-08-30,ACCEPTEE,,600000,9
DEC-004411,DEM-004411,INS-001,2022-12-24,REFUSEE,historique_incidents,,
DEC-004412,DEM-004412,INS-001,2024-03-04,REFUSEE,historique_incidents,,
DEC-004413,DEM-004413,INS-001,2025-02-22,REFUSEE,historique_incidents,,
DEC-004414,DEM-004414,INS-001,2024-07-26,ACCEPTEE,,1500000,12
DEC-004415,DEM-004415,INS-001,2022-08-02,ACCEPTEE,,215000,6
DEC-004416,DEM-004416,INS-001,2024-05-15,ACCEPTEE,,100000,3
DEC-004417,DEM-004417,INS-001,2024-10-27,ACCEPTEE,,395000,9
DEC-004418,DEM-004418,INS-001,2022-06-15,ACCEPTEE,,520000,12
DEC-004419,DEM-004419,INS-001,2023-10-24,ACCEPTEE,,375000,9
DEC-004420,DEM-004420,INS-001,2025-01-07,REFUSEE,capacite_insuffisante,,
DEC-004421,DEM-004421,INS-001,2025-10-18,ACCEPTEE,,545000,6
DEC-004422,DEM-004422,INS-001,2021-09-23,ACCEPTEE,,250000,9
DEC-004423,DEM-004423,INS-001,2022-11-16,ACCEPTEE,,210000,6
DEC-004424,DEM-004424,INS-001,2023-06-08,ACCEPTEE,,600000,12
DEC-004425,DEM-004425,INS-001,2025-06-22,ACCEPTEE,,360000,6
DEC-004426,DEM-004426,INS-001,2024-07-01,ACCEPTEE,,550000,9
DEC-004427,DEM-004427,INS-001,2025-03-10,REFUSEE,capacite_insuffisante,,
DEC-004428,DEM-004428,INS-001,2022-03-11,REFUSEE,capacite_insuffisante,,
DEC-004429,DEM-004429,INS-001,2022-05-25,ACCEPTEE,,125000,9
DEC-004430,DEM-004430,INS-001,2023-03-21,ACCEPTEE,,150000,6
DEC-004431,DEM-004431,INS-001,2025-07-30,ACCEPTEE,,250000,9
DEC-004432,DEM-004432,INS-001,2022-05-26,REFUSEE,capacite_insuffisante,,
DEC-004433,DEM-004433,INS-001,2022-12-17,REFUSEE,capacite_insuffisante,,
DEC-004434,DEM-004434,INS-001,2022-07-26,ACCEPTEE,,720000,12
DEC-004435,DEM-004435,INS-001,2024-11-16,ACCEPTEE,,600000,12
DEC-004436,DEM-004436,INS-001,2023-09-08,ACCEPTEE,,150000,12
DEC-004437,DEM-004437,INS-001,2024-07-27,ACCEPTEE,,150000,12
DEC-004438,DEM-004438,INS-001,2022-05-14,ACCEPTEE,,900000,12
DEC-004439,DEM-004439,INS-001,2023-05-22,ACCEPTEE,,500000,12
DEC-004440,DEM-004440,INS-001,2025-05-28,ACCEPTEE,,750000,24
DEC-004441,DEM-004441,INS-001,2024-01-08,ACCEPTEE,,105000,6
DEC-004442,DEM-004442,INS-001,2025-01-31,ACCEPTEE,,85000,6
DEC-004443,DEM-004443,INS-001,2025-09-01,REFUSEE,capacite_insuffisante,,
DEC-004444,DEM-004444,INS-001,2025-09-19,ACCEPTEE,,325000,12
DEC-004445,DEM-004445,INS-001,2022-10-05,ACCEPTEE,,550000,12
DEC-004446,DEM-004446,INS-001,2024-01-12,ACCEPTEE,,600000,9
DEC-004447,DEM-004447,INS-001,2022-09-13,ACCEPTEE,,850000,12
DEC-004448,DEM-004448,INS-001,2022-08-23,ACCEPTEE,,1500000,12
DEC-004449,DEM-004449,INS-001,2025-09-24,ACCEPTEE,,105000,12
DEC-004450,DEM-004450,INS-001,2025-09-28,ACCEPTEE,,600000,9
DEC-004451,DEM-004451,INS-001,2023-01-09,ACCEPTEE,,225000,12
DEC-004452,DEM-004452,INS-001,2024-02-07,ACCEPTEE,,200000,9
DEC-004453,DEM-004453,INS-001,2023-09-19,ACCEPTEE,,250000,12
DEC-004454,DEM-004454,INS-001,2024-11-23,ACCEPTEE,,510000,12
DEC-004455,DEM-004455,INS-001,2022-11-18,ACCEPTEE,,320000,12
DEC-004456,DEM-004456,INS-001,2024-11-17,REFUSEE,historique_incidents,,
DEC-004457,DEM-004457,INS-001,2025-05-20,REFUSEE,historique_incidents,,
DEC-004458,DEM-004458,INS-001,2021-08-23,ACCEPTEE,,600000,6
DEC-004459,DEM-004459,INS-001,2023-02-22,REFUSEE,historique_incidents,,
DEC-004460,DEM-004460,INS-001,2023-12-28,ACCEPTEE,,600000,12
DEC-004461,DEM-004461,INS-001,2025-08-08,REFUSEE,historique_incidents,,
DEC-004462,DEM-004462,INS-001,2022-05-20,REFUSEE,capacite_insuffisante,,
DEC-004463,DEM-004463,INS-001,2023-06-24,ACCEPTEE,,400000,6
DEC-004464,DEM-004464,INS-001,2025-05-19,REFUSEE,capacite_insuffisante,,
DEC-004465,DEM-004465,INS-001,2024-01-22,ACCEPTEE,,600000,12
DEC-004466,DEM-004466,INS-001,2025-04-19,REFUSEE,endettement_eleve,,
DEC-004467,DEM-004467,INS-001,2025-10-12,REFUSEE,endettement_eleve,,
DEC-004468,DEM-004468,INS-001,2022-09-18,ACCEPTEE,,900000,12
DEC-004469,DEM-004469,INS-001,2025-04-28,ACCEPTEE,,470000,12
DEC-004470,DEM-004470,INS-001,2021-08-09,ACCEPTEE,,250000,9
DEC-004471,DEM-004471,INS-001,2024-07-25,ACCEPTEE,,250000,6
DEC-004472,DEM-004472,INS-001,2025-03-24,ACCEPTEE,,1140000,12
DEC-004473,DEM-004473,INS-001,2022-07-15,ACCEPTEE,,50000,3
DEC-004474,DEM-004474,INS-001,2024-05-07,ACCEPTEE,,75000,3
DEC-004475,DEM-004475,INS-001,2024-03-17,ACCEPTEE,,135000,9
