identifiant_releve,identifiant_activite,identifiant_client,identifiant_institution,date_releve,origine_releve,recettes_mensuelles_declarees,charges_mensuelles_declarees,stock_estime,autres_revenus_menage,charges_menage,dette_externe_mensualite
REL-000258,ACT-000101,CLT-000085,INS-001,2025-04-20,entree_relation,152098,154999,,51908,0,
REL-000259,ACT-000101,CLT-000085,INS-001,2025-07-24,instruction_demande,115719,92466,,50485,0,
REL-000260,ACT-000101,CLT-000085,INS-001,2025-11-03,instruction_demande,124041,100351,,45085,0,
REL-000261,ACT-000102,CLT-000086,INS-001,2025-05-09,entree_relation,,77805,,0,1234,
REL-000262,ACT-000103,CLT-000087,INS-001,2025-06-16,entree_relation,,298163,,74941,0,
REL-000263,ACT-000103,CLT-000087,INS-001,2025-10-20,instruction_demande,416263,363449,,58390,0,
REL-000264,ACT-000104,CLT-000088,INS-001,2025-06-21,entree_relation,485579,461878,,0,17663,
REL-000265,ACT-000105,CLT-000089,INS-001,2025-07-10,entree_relation,42615,28896,,0,6760,
REL-000266,ACT-000106,CLT-000090,INS-001,2025-07-11,entree_relation,190693,170398,253326,80526,6515,
REL-000267,ACT-000107,CLT-000090,INS-001,2025-07-11,entree_relation,100233,100153,,80526,6515,
REL-000268,ACT-000108,CLT-000091,INS-001,2025-08-02,entree_relation,642888,690012,,120574,0,
REL-000269,ACT-000109,CLT-000091,INS-001,2025-08-02,entree_relation,165825,145216,,,0,
REL-000270,ACT-000110,CLT-000092,INS-001,2025-08-14,entree_relation,291889,289150,257020,0,0,
REL-000271,ACT-000111,CLT-000093,INS-001,2025-09-10,entree_relation,324153,385608,409626,0,0,29500
REL-000272,ACT-000112,CLT-000094,INS-001,2025-09-16,entree_relation,822677,910009,767761,39211,0,
REL-000273,ACT-000113,CLT-000095,INS-001,2025-09-30,entree_relation,80231,58521,,111328,10759,78000
REL-000274,ACT-000114,CLT-000096,INS-001,2025-10-23,entree_relation,643464,526859,,118314,32344,
REL-000275,ACT-000115,CLT-000096,INS-001,2025-10-23,entree_relation,148988,181824,109106,118314,32344,
REL-000276,ACT-000116,CLT-000097,INS-001,2025-10-24,entree_relation,566711,600554,,0,0,
REL-000277,ACT-000117,CLT-000098,INS-001,2025-10-26,entree_relation,211406,220836,252339,,0,
REL-000278,ACT-000118,CLT-000099,INS-001,2025-11-16,entree_relation,684179,793306,626608,11151,0,
REL-000279,ACT-000119,CLT-000100,INS-001,2025-12-14,entree_relation,678074,761772,299382,76904,0,142500
